"Code","Label","Version"
"0000","Activities not adequately defined","isic_2"
"1000","Agriculture, Hunting, Forestry and Fishing","isic_2"
"1100","Agriculture and Hunting","isic_2"
"1110","Agriculture and livestock production","isic_2"
"1120","Agricultural services","isic_2"
"1130","Hunting, trapping and game propagation","isic_2"
"1200","Forestry and logging","isic_2"
"1210","Forestry","isic_2"
"1220","Logging","isic_2"
"1300","Fishing","isic_2"
"1301","Ocean and coastal fishing","isic_2"
"1302","Fishing not elsewhere classified","isic_2"
"2000","Mining and Quarrying","isic_2"
"2100","Coal Mining","isic_2"
"2200","Crude Petroleum and Natural Gas Production","isic_2"
"2300","Metal Ore Mining","isic_2"
"2301","Iron ore mining","isic_2"
"2302","Non-ferrous ore mining","isic_2"
"2900","Other Mining","isic_2"
"2901","Stone quarrying, clay and sand pits","isic_2"
"2902","Chemical and fertilizer mineral mining","isic_2"
"2903","Salt mining","isic_2"
"2909","Mining and quarrying not elsewhere classified","isic_2"
"3000","Manufacturing","isic_2"
"3100","Manufacture of Food, Beverages and Tobacco","isic_2"
"3110","Food manufacturing","isic_2"
"3111","Slaughtering, preparing and preserving meat","isic_2"
"3112","Manufacture of dairy products","isic_2"
"3113","Canning and preserving of fruits and vegetables","isic_2"
"3114","Canning, preserving and processing of fish, crustaces and similar foods","isic_2"
"3115","Manufacture of vegetable and animal oils and fats","isic_2"
"3116","Grain mill products","isic_2"
"3117","Manufacture of bakery products","isic_2"
"3118","Sugar factories and refineries","isic_2"
"3119","Manufacture of cocoa, chocolate and sugar confectionery","isic_2"
"3120","Food manufacturing","isic_2"
"3121","Manufacture of food products not elsewhere classified","isic_2"
"3122","Manufacture of prepared animal feeds","isic_2"
"3130","Beverage industries","isic_2"
"3131","Distilling, rectifying and blending spirits","isic_2"
"3132","Wine industries","isic_2"
"3133","Malt liquors and malt","isic_2"
"3134","Soft drinks and carbonated waters industries","isic_2"
"3140","Tobacco manufactures","isic_2"
"3200","Textile, Wearing Apparel and Leather Industries","isic_2"
"3210","Manufacture of textiles","isic_2"
"3211","Spinning, weaving and finishing textiles","isic_2"
"3212","Manufacture of made-up textile goods except wearing apparel","isic_2"
"3213","Knitting mills","isic_2"
"3214","Manufacture of carpets and rugs","isic_2"
"3215","Cordage, rope and twine industries","isic_2"
"3219","Manufacture of textiles not elsewhere classified","isic_2"
"3220","Manufacture of wearing apparel, except footwear","isic_2"
"3230","Manufacture of leather and products of leather, leather substitutes and fur, except footwear and wearing apparel","isic_2"
"3231","Tanneries and leather finishing","isic_2"
"3232","Fur dressing and dyeing industries","isic_2"
"3233","Manufacture of products of leather and leather substitutes, except footwear and wearing apparel","isic_2"
"3240","Manufacture of footwear, except vulcanized or moulded rubber or plastic footwear","isic_2"
"3300","Manufacture of Wood and Wood Products, Including Furniture","isic_2"
"3310","Manufacture of wood and wood and cork products, except furniture","isic_2"
"3311","Sawmills, planing and other wood mills","isic_2"
"3312","Manufacture of wooden and cane containers and small cane ware","isic_2"
"3319","Manufacture of wood and cork products not elsewhere classified","isic_2"
"3320","Manufacture of furniture and fixtures, except primarily of metal","isic_2"
"3400","Manufacture of Paper and Paper Products, Printing and Publishing","isic_2"
"3410","Manufacture of paper and paper products","isic_2"
"3411","Manufacture of pulp, paper and paperboard","isic_2"
"3412","Manufacture of containers and boxes of paper and paperboard","isic_2"
"3419","Manufacture of pulp, paper and paperboard articles not elsewhere classified","isic_2"
"3420","Printing, publishing and allied industries","isic_2"
"3500","Manufacture of Chemicals and Chemical, Petroleum, Coal, Rubber and Plastic Products","isic_2"
"3510","Manufacture of industrial chemicals","isic_2"
"3511","Manufacture of basic industrial chemicals except fertilizers","isic_2"
"3512","Manufacture of fertilizers and pesticides","isic_2"
"3513","Manufacture of synthetic resins, plastic materials and man-made fibres except glass","isic_2"
"3520","Manufacture of other chemical products","isic_2"
"3521","Manufacture of paints, varnishes and laquers","isic_2"
"3522","Manufacture of drugs and medicines","isic_2"
"3523","Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations","isic_2"
"3529","Manufacture of chemical products not elsewhere classified","isic_2"
"3530","Petroleum refineries","isic_2"
"3540","Manufacture of miscellaneous products of petroleum and coal","isic_2"
"3550","Manufacture of rubber products","isic_2"
"3551","Tyre and tube industries","isic_2"
"3559","Manufacture of rubber products not elsewhere classified","isic_2"
"3560","Manufacture of plastic products not elsewhere classified","isic_2"
"3600","Manufacture of Non-Metallic Mineral Products, except Products of Petroleum and Coal","isic_2"
"3610","Manufacture of pottery, china and earthenware","isic_2"
"3620","Manufacture of glass and glass products","isic_2"
"3690","Manufacture of other non-metallic mineral products","isic_2"
"3691","Manufacture of structural clay products","isic_2"
"3692","Manufacture of cement, lime and plaster","isic_2"
"3699","Manufacture of non-metallic mineral products not elsewhere classified","isic_2"
"3700","Basic Metal Industries","isic_2"
"3710","Iron and steel basic industries","isic_2"
"3720","Non-ferrous metal basic industries","isic_2"
"3800","Manufacture of Fabricated Metal Products, Machinery and Equipment","isic_2"
"3810","Manufacture of fabricated metal products, except machinery and equipment","isic_2"
"3811","Manufacture of cutlery, hand tools and general hardware","isic_2"
"3812","Manufacture of furniture and fixtures primarily of metal","isic_2"
