code	label	version
3210	Stenographers typists and teletypists	isco_1968
3220	Card- and tape-punching machine operators	isco_1968
3300	Bookkeepers Cashiers and Related Workers	isco_1968
3310	Bookkeepers and cashiers	isco_1968
3390	Bookkeepers cashiers and related workers not elsewhere classified	isco_1968
3400	Computing Machine Operators	isco_1968
3410	Bookkeeping and calculating machine operators	isco_1968
3420	Automatic data-processing machine operators	isco_1968
3500	Transport and Communications Supervisors	isco_1968
3510	Railway station masters	isco_1968
3520	Postmasters	isco_1968
3590	Transport and communications supervisors not elsewhere classified	isco_1968
3600	Transport Conductors	isco_1968
3700	Mail Distribution Clerks	isco_1968
3800	Telephone and Telegraph Operators	isco_1968
3900	Clerical and Related Workers Not Elsewhere Classified	isco_1968
3910	Stock clerks	isco_1968
3920	Material and production planning clerks	isco_1968
3930	Correspondence and reporting clerks	isco_1968
3940	Receptionists and travel agency clerks	isco_1968
3950	Library and filing clerks	isco_1968
3990	Clerks not elsewhere classified	isco_1968
4000	Sales Workers	isco_1968
4100	Working Proprietors (Wholesale and Retail Trade)	isco_1968
4200	Sales Supervisors and Buyers	isco_1968
4210	Sales supervisors	isco_1968
4220	Buyers	isco_1968
4300	Technical Salesmen Commercial Travellers and Manufacturers' Agents	isco_1968
4310	Technical salesmen and service advisers	isco_1968
4320	Commercial travellers and Manufacturers' agents	isco_1968
4400	Insurance Real Estate Securities and Business Services Salesmen and Auctioneers	isco_1968
4410	Insurance real estate and securities salesmen	isco_1968
4420	Business services salesmen	isco_1968
4430	Auctioneers	isco_1968
4500	Salesmen Shop Assistants and Related Workers	isco_1968
4510	Salesmen shop assistants and demonstrators	isco_1968
4520	Street vendors canvassers and newsvendors	isco_1968
4900	Sales Workers Not Elsewhere Classified	isco_1968
5000	Service Workers	isco_1968
5100	Working Proprietors (Catering and Lodging Services)	isco_1968
5200	Housekeeping and Related Service Supervisors	isco_1968
5300	Cooks Waiters Bartenders and Relaters Workers	isco_1968
5310	Cooks	isco_1968
5320	Waiters bartenders and related workers	isco_1968
5400	Maids and Related Housekeeping Service Workers Not Elsewhere Classified	isco_1968
5500	Building Caretakers Charworkers Cleaners and Related Workers	isco_1968
5510	Building caretakers	isco_1968
5520	Charworkers cleaners and related workers	isco_1968
5600	Launderers Dry-Cleaners and Pressers	isco_1968
5700	Hairdressers Barbers Beauticians and Related Workers	isco_1968
5800	Protective Service Workers	isco_1968
5810	Fire-fighters	isco_1968
5820	Policemen and detectives	isco_1968
5890	Protective service workers not elsewhere classified	isco_1968
5900	Service Workers Not Elsewhere Classified	isco_1968
5910	Guides	isco_1968
5920	Undertakers and embalmers	isco_1968
5990	Other service workers	isco_1968
6000	Agricultural Animal Husbandry and Forestry Workers Fishermen and Hunters	isco_1968
6100	Farmers	isco_1968
6110	General farmers	isco_1968
6120	Specialised farmers	isco_1968
6200	Agricultural and Animal Husbandry Workers	isco_1968
6210	General farm workers	isco_1968
6220	Field crop and vegetable farm workers	isco_1968
6230	Orchard vineyard and related tree and shrub crop workers	isco_1968
6240	Livestock workers	isco_1968
6250	Dairy farm workers	isco_1968
6260	Poultry farm workers	isco_1968
6270	Nursery workers and gardeners	isco_1968
6280	Farm machinery operators	isco_1968
6290	Agricultural and animal husbandry workers not elsewhere classified	isco_1968
6300	Forestry Workers	isco_1968
6310	Loggers	isco_1968
6320	Forestry workers (except logging)	isco_1968
6400	Fishermen Hunters and Related Workers	isco_1968
6410	Fishermen	isco_1968
6490	Fishermen hunters and related workers not elsewhere classified	isco_1968
7000	Production and Related Workers Transport Equipment Operators and Labourers	isco_1968
7100	Miners Quarrymen Well Drillers and Related Workers	isco_1968
7110	Miners and quarrymen	isco_1968
7120	Mineral and stone treaters	isco_1968
7130	Well drillers borers and related workers	isco_1968
7200	Metal Processers	isco_1968
7210	Metal smelting converting and refining furnacemen	isco_1968
7220	Metal rolling-mill workers	isco_1968
7230	Metal melters and reheaters	isco_1968
7240	Metal casters	isco_1968
7250	Metal moulders and coremakers	isco_1968
7260	Metal annealers temperers and case-hardeners	isco_1968
7270	Metal drawers and extruders	isco_1968
7280	Metal platers and coaters	isco_1968
7290	Metal processers not elsewhere classified	isco_1968
7300	Wood Preparation Workers and Paper Makers	isco_1968
7310	Wood treaters	isco_1968
7320	Sawyers plywood makers and related wood-processing workers	isco_1968
7330	Paper pulp preparers	isco_1968
7340	Paper makers	isco_1968
7400	Chemical Processers and Related Workers	isco_1968
7410	Crushers grinders and mixers	isco_1968
7420	Cookers roasters and related heat-treaters	isco_1968
7430	Filter and separator operators	isco_1968
7440	Still and reactor operators	isco_1968
7450	Petroleum-refining workers	isco_1968
7490	Chemical processers and related workers not elsewhere classified	isco_1968
7500	Spinners Weavers Knitters Dyers and Related Workers	isco_1968
7510	Fibre preparers	isco_1968
7520	Spinners and winders	isco_1968
7530	Weaving- and knitting-machine setters and pattern-card preparers	isco_1968
7540	Weavers and related workers	isco_1968
7550	Knitters	isco_1968
7560	Bleachers dyers and textile product finishers	isco_1968
7590	Spinners weavers knitters dyers and related workers not elsewhere classified	isco_1968
7600	Tanners Fellmongers and Pelt Dressers	isco_1968
7610	Tanners and fellmongers	isco_1968
7620	Pelt dressers	isco_1968
7700	Food and Beverage Processers	isco_1968
7710	Grain millers and related workers	isco_1968
7720	Sugar processers and refiners	isco_1968
7730	Butchers and meat preparers	isco_1968
7740	Food preservers	isco_1968
7750	Dairy product processers	isco_1968
7760	Bakers pastrycooks and confectionery makers	isco_1968
7770	Tea coffee and cocoa preparers	isco_1968
7780	Brewers wine and beverage makers	isco_1968
7790	Food and beverage processers not elsewhere classified	isco_1968
7800	Tobacco Preparers and Tobacco Product Makers	isco_1968
7810	Tobacco preparers	isco_1968
7820	Cigar makers	isco_1968
7830	Cigarette makers	isco_1968
7890	Tobacco preparers and tobacco product makers not elsewhere classified	isco_1968
7900	Tailors Dressmakers Sewers Upholsterers and Related Workers	isco_1968
7910	Tailors and dressmakers	isco_1968
7920	Fur tailors and related workers	isco_1968
7930	Milliners and hatmakers	isco_1968
7940	Patternmakers and cutters	isco_1968
7950	Sewers and embroiderers	isco_1968
7960	Upholsterers and related workers	isco_1968
7990	Tailors dressmakers sewers upholsterers and related workers not elsewhere classified	isco_1968
8000	Production and Related Workers Transport Equipment Operators and Labourers	isco_1968
8010	Shoemakers and shoe repairers	isco_1968
8020	Shoe cutters lasters sewers and related workers	isco_1968
8030	Leather goods makers	isco_1968
8100	Cabinetmakers and Related Woodworkers	isco_1968
8110	Cabinetmakers	isco_1968
8120	Woodworking-machine operators	isco_1968
8190	Cabinetmakers and related woodworkers not elsewhere classified	isco_1968
8200	Stone Cutters and Carvers	isco_1968
8300	Blacksmiths Toolmakers and Machine-Tool Operators	isco_1968
8310	Blacksmiths hammersmiths and forging-press operators	isco_1968
8320	Toolmakers metal patternmakers and metal markers	isco_1968
8330	Machine-tool setter-operators	isco_1968
8340	Machine-tool operators	isco_1968
8350	Metal grinders polishers and tool sharpeners	isco_1968
8390	Blacksmiths toolmakers and machine-tool operators not elsewhere classified	isco_1968
8400	Machinery Fitters Machine Assemblers and Precision Instrument Makers (except Electrical)	isco_1968
8410	Machinery fitters and machine assemblers	isco_1968
8420	Watch clock and precision instrument makers	isco_1968
8430	Motor vehicle mechanics	isco_1968
8440	Aircraft engine mechanics	isco_1968
8490	Machinery fitters machine assemblers and precision instrument makers (except electrical) not elsewhere classified	isco_1968
8500	Electrical Fitters and Related Electrical and Electronics Workers	isco_1968
8510	Electrical fitters	isco_1968
8520	Electronics fitters	isco_1968
8530	Electrical and electronics equipment assemblers	isco_1968
8540	Radio and television repairmen	isco_1968
8550	Electrical wiremen	isco_1968
8560	Telephone and telegraph installers	isco_1968
8570	Electric linemen and cable jointers	isco_1968
8590	Electrical fitters and related electrical and electronics workers not elsewhere classified	isco_1968
8600	Broadcasting Station and Sound Equipment Operators and Cinema Projectionists	isco_1968
8610	Broadcasting station operators	isco_1968
8620	Sound equipment operators and cinema projectionists	isco_1968
8700	Plumbers Welders Sheet Metal and Structural Metal Preparers and Erectors	isco_1968
8710	Plumbers and pipe fitters	isco_1968
8720	Welders and flame-cutters	isco_1968
8730	Sheet-metal workers	isco_1968
8740	Structural metal preparers and erectors	isco_1968
8800	Jewellery and Precious Metal Workers	isco_1968
8900	Glass Formers Potters and Related Workers	isco_1968
8910	Glass formers cutters grinders and finishers	isco_1968
8920	Potters and related clay and abrasive formers	isco_1968
8930	Glass and ceramics kilnmen	isco_1968
8940	Glass engravers and etchers	isco_1968
8950	Glass and ceramics painters and decorators	isco_1968
8990	Glass formers potters and related workers not elsewhere classified	isco_1968
9000	Production and Related Workers Transport Equipment Operators and Labourers	isco_1968
9010	Rubber and plastics product makers (except tire makers and tire vulcanisers)	isco_1968
9020	Tire makers and vulcanisers	isco_1968
9100	Paper and Paperboard Products Makers	isco_1968
9200	Printers and Related Workers	isco_1968
9210	Compositors and typesetters	isco_1968
9220	Printing pressmen	isco_1968
9230	Stereotypers and electrotypers	isco_1968
9240	Printing engravers (except photo-engravers)	isco_1968
9250	Photo-engravers	isco_1968
9260	Bookbinders and related workers	isco_1968
9270	Photographic darkroom workers	isco_1968
9290	Printers and related workers not elsewhere classified	isco_1968
9300	Painters	isco_1968
9310	Painters construction	isco_1968
9390	Painters not elsewhere classified	isco_1968
9400	Production and Related Workers Not Elsewhere Classified	isco_1968
9410	Musical instrument makers and tuners	isco_1968
9420	Basketry weavers and brush makers	isco_1968
9430	Non-metallic mineral product makers	isco_1968
9490	Other production and related workers	isco_1968
9500	Bricklayers Carpenters and Other Construction Workers	isco_1968
9510	Bricklayers stonemasons and tile setters	isco_1968
9520	Reinforced-concreters cement finishers and terrazzo workers	isco_1968
9530	Roofers	isco_1968
9540	Carpenters joiners and parquetry workers	isco_1968
9550	Plasterers	isco_1968
9560	Insulators	isco_1968
9570	Glaziers	isco_1968
9590	Construction workers not elsewhere classified	isco_1968
9600	Stationary Engine and Related Equipment Operators	isco_1968
9610	Power-generating machinery operators	isco_1968
9690	Stationary engine and related equipment operators not elsewhere classified	isco_1968
9700	Material-Handling and Related Equipment Operators Dockers and Freight Handlers	isco_1968
9710	Dockers and freight handlers	isco_1968
9720	Riggers and cable splicers	isco_1968
9730	Crane and hoist operators	isco_1968
9740	Earth-moving and related machinery operators	isco_1968
9790	Material-handling equipment operators not elsewhere classified	isco_1968
9800	Transport Equipment Operators	isco_1968
9810	Ships' deck ratings barge crews and boatmen	isco_1968
9820	Ships' engine-room ratings	isco_1968
9830	Railway engine drivers and firemen	isco_1968
9840	Railway brakemen signalmen and shunters	isco_1968
9850	Motor vehicle drivers	isco_1968
9860	Animal and animal-drawn vehicle drivers	isco_1968
9890	Transport equipment operators not elsewhere classified	isco_1968
9900	Labourers Not Elsewhere Classified	isco_1968
9990	Labourers not elsewhere classified	isco_1968
X	Workers Not Classifiable by Occupation	isco_1968
X1	New Workers Seeking Employment	isco_1968
X10	New workers seeking employment	isco_1968
X2	Workers Reporting Occupations Unidentifiable or Inadequately Described	isco_1968
X20	Workers reporting occupations unidentifiable or inadequately described	isco_1968
X3	Workers Not Reporting Any Occupation	isco_1968
X30	Workers not reporting any occupation	isco_1968
Y	Members of the Armed Forces	isco_1968
0000	Armed Forces	isco_1988
