isic_rev4_4dig;isic_rev4_secdig;isic_rev4_1dig;isic_rev4_2dig;isic_rev4_3dig
2220;"C";2;22;222
2310;"C";2;23;231
2391;"C";2;23;239
2392;"C";2;23;239
2393;"C";2;23;239
2394;"C";2;23;239
2395;"C";2;23;239
2396;"C";2;23;239
2399;"C";2;23;239
2410;"C";2;24;241
2420;"C";2;24;242
2431;"C";2;24;243
2432;"C";2;24;243
2511;"C";2;25;251
2512;"C";2;25;251
2513;"C";2;25;251
2520;"C";2;25;252
2591;"C";2;25;259
2592;"C";2;25;259
2593;"C";2;25;259
2599;"C";2;25;259
2610;"C";2;26;261
2620;"C";2;26;262
2630;"C";2;26;263
2640;"C";2;26;264
2651;"C";2;26;265
2652;"C";2;26;265
2660;"C";2;26;266
2670;"C";2;26;267
2680;"C";2;26;268
2710;"C";2;27;271
2720;"C";2;27;272
2731;"C";2;27;273
2732;"C";2;27;273
2733;"C";2;27;273
2740;"C";2;27;274
2750;"C";2;27;275
2790;"C";2;27;279
2811;"C";2;28;281
2812;"C";2;28;281
2813;"C";2;28;281
2814;"C";2;28;281
2815;"C";2;28;281
2816;"C";2;28;281
2817;"C";2;28;281
2818;"C";2;28;281
2819;"C";2;28;281
2821;"C";2;28;282
2822;"C";2;28;282
2823;"C";2;28;282
2824;"C";2;28;282
2825;"C";2;28;282
2826;"C";2;28;282
2829;"C";2;28;282
2910;"C";2;29;291
2920;"C";2;29;292
2930;"C";2;29;293
3011;"C";3;30;301
3012;"C";3;30;301
3020;"C";3;30;302
3030;"C";3;30;303
3040;"C";3;30;304
3091;"C";3;30;309
3092;"C";3;30;309
3099;"C";3;30;309
3100;"C";3;31;310
3211;"C";3;32;321
3212;"C";3;32;321
3220;"C";3;32;322
3230;"C";3;32;323
3240;"C";3;32;324
3250;"C";3;32;325
3290;"C";3;32;329
3311;"C";3;33;331
3312;"C";3;33;331
3313;"C";3;33;331
3314;"C";3;33;331
3315;"C";3;33;331
3319;"C";3;33;331
3320;"C";3;33;332
3510;"D";3;35;351
3520;"D";3;35;352
3530;"D";3;35;353
3600;"E";3;36;360
3700;"E";3;37;370
3811;"E";3;38;381
3812;"E";3;38;381
3821;"E";3;38;382
3822;"E";3;38;382
3830;"E";3;38;383
3900;"E";3;39;390
4100;"F";4;41;410
4210;"F";4;42;421
4220;"F";4;42;422
4290;"F";4;42;429
4311;"F";4;43;431
4312;"F";4;43;431
4321;"F";4;43;432
4322;"F";4;43;432
4329;"F";4;43;432
4330;"F";4;43;433
4390;"F";4;43;439
4510;"G";4;45;451
4520;"G";4;45;452
4530;"G";4;45;453
4540;"G";4;45;454
4610;"G";4;46;461
4620;"G";4;46;462
4630;"G";4;46;463
4641;"G";4;46;464
4649;"G";4;46;464
4651;"G";4;46;465
4652;"G";4;46;465
4653;"G";4;46;465
4659;"G";4;46;465
4661;"G";4;46;466
4662;"G";4;46;466
4663;"G";4;46;466
4669;"G";4;46;466
4690;"G";4;46;469
4711;"G";4;47;471
4719;"G";4;47;471
4721;"G";4;47;472
4722;"G";4;47;472
4723;"G";4;47;472
4730;"G";4;47;473
4741;"G";4;47;474
4742;"G";4;47;474
4751;"G";4;47;475
4752;"G";4;47;475
4753;"G";4;47;475
4759;"G";4;47;475
4761;"G";4;47;476
4762;"G";4;47;476
4763;"G";4;47;476
4764;"G";4;47;476
4771;"G";4;47;477
4772;"G";4;47;477
4773;"G";4;47;477
4774;"G";4;47;477
4781;"G";4;47;478
4782;"G";4;47;478
4789;"G";4;47;478
4791;"G";4;47;479
4799;"G";4;47;479
4911;"H";4;49;491
4912;"H";4;49;491
4921;"H";4;49;492
4922;"H";4;49;492
4923;"H";4;49;492
4930;"H";4;49;493
5011;"H";5;50;501
5012;"H";5;50;501
5021;"H";5;50;502
5022;"H";5;50;502
5110;"H";5;51;511
5120;"H";5;51;512
5210;"H";5;52;521
5221;"H";5;52;522
5222;"H";5;52;522
5223;"H";5;52;522
5224;"H";5;52;522
5229;"H";5;52;522
5310;"H";5;53;531
5320;"H";5;53;532
5510;"I";5;55;551
5520;"I";5;55;552
5590;"I";5;55;559
5610;"I";5;56;561
5621;"I";5;56;562
5629;"I";5;56;562
5630;"I";5;56;563
5811;"J";5;58;581
5812;"J";5;58;581
5813;"J";5;58;581
5819;"J";5;58;581
5820;"J";5;58;582
5911;"J";5;59;591
5912;"J";5;59;591
5913;"J";5;59;591
5914;"J";5;59;591
5920;"J";5;59;592
6010;"J";6;60;601
6020;"J";6;60;602
6110;"J";6;61;611
6120;"J";6;61;612
6130;"J";6;61;613
6190;"J";6;61;619
6201;"J";6;62;620
6202;"J";6;62;620
6209;"J";6;62;620
6311;"J";6;63;631
6312;"J";6;63;631
6391;"J";6;63;639
6399;"J";6;63;639
6411;"K";6;64;641
6419;"K";6;64;641
6420;"K";6;64;642
6430;"K";6;64;643
6491;"K";6;64;649
6492;"K";6;64;649
6499;"K";6;64;649
6511;"K";6;65;651
6512;"K";6;65;651
6520;"K";6;65;652
6530;"K";6;65;653
6611;"K";6;66;661
6612;"K";6;66;661
6619;"K";6;66;661
6621;"K";6;66;662
6622;"K";6;66;662
6629;"K";6;66;662
6630;"K";6;66;663
6810;"L";6;68;681
6820;"L";6;68;682
6910;"M";6;69;691
6920;"M";6;69;692
7010;"M";7;70;701
7020;"M";7;70;702
7110;"M";7;71;711
7120;"M";7;71;712
7210;"M";7;72;721
7220;"M";7;72;722
7310;"M";7;73;731
7320;"M";7;73;732
7410;"M";7;74;741
7420;"M";7;74;742
7490;"M";7;74;749
7500;"M";7;75;750
7710;"N";7;77;771
7721;"N";7;77;772
7722;"N";7;77;772
7729;"N";7;77;772
7730;"N";7;77;773
7740;"N";7;77;774
7810;"N";7;78;781
7820;"N";7;78;782
7830;"N";7;78;783
7911;"N";7;79;791
7912;"N";7;79;791
7990;"N";7;79;799
8010;"N";8;80;801
8020;"N";8;80;802
8030;"N";8;80;803
8110;"N";8;81;811
8121;"N";8;81;812
8129;"N";8;81;812
8130;"N";8;81;813
8211;"N";8;82;821
8219;"N";8;82;821
8220;"N";8;82;822
8230;"N";8;82;823
8291;"N";8;82;829
8292;"N";8;82;829
8299;"N";8;82;829
8411;"O";8;84;841
8412;"O";8;84;841
8413;"O";8;84;841
8421;"O";8;84;842
8422;"O";8;84;842
8423;"O";8;84;842
8430;"O";8;84;843
8510;"P";8;85;851
8521;"P";8;85;852
8522;"P";8;85;852
8530;"P";8;85;853
8541;"P";8;85;854
8542;"P";8;85;854
8549;"P";8;85;854
8550;"P";8;85;855
8610;"Q";8;86;861
8620;"Q";8;86;862
8690;"Q";8;86;869
8710;"Q";8;87;871
8720;"Q";8;87;872
8730;"Q";8;87;873
8790;"Q";8;87;879
8810;"Q";8;88;881
8890;"Q";8;88;889
9000;"R";9;90;900
9101;"R";9;91;910
9102;"R";9;91;910
9103;"R";9;91;910
9200;"R";9;92;920
9311;"R";9;93;931
9312;"R";9;93;931
9319;"R";9;93;931
9321;"R";9;93;932
9329;"R";9;93;932
9411;"S";9;94;941
9412;"S";9;94;941
9420;"S";9;94;942
9491;"S";9;94;949
9492;"S";9;94;949
9499;"S";9;94;949
9511;"S";9;95;951
9512;"S";9;95;951
9521;"S";9;95;952
9522;"S";9;95;952
9523;"S";9;95;952
9524;"S";9;95;952
9529;"S";9;95;952
9601;"S";9;96;960
9602;"S";9;96;960
9603;"S";9;96;960
9609;"S";9;96;960
9700;"T";9;97;970
9810;"T";9;98;981
9820;"T";9;98;982
9900;"U";9;99;990
