isic_rev4_4dig;isic_rev4_secdig;isic_rev4_1dig;isic_rev4_2dig;isic_rev4_3dig
111;"A";0;1;11
112;"A";0;1;11
113;"A";0;1;11
114;"A";0;1;11
115;"A";0;1;11
116;"A";0;1;11
119;"A";0;1;11
121;"A";0;1;12
122;"A";0;1;12
123;"A";0;1;12
124;"A";0;1;12
125;"A";0;1;12
126;"A";0;1;12
127;"A";0;1;12
128;"A";0;1;12
129;"A";0;1;12
130;"A";0;1;13
141;"A";0;1;14
142;"A";0;1;14
143;"A";0;1;14
144;"A";0;1;14
145;"A";0;1;14
146;"A";0;1;14
149;"A";0;1;14
150;"A";0;1;15
161;"A";0;1;16
162;"A";0;1;16
163;"A";0;1;16
164;"A";0;1;16
170;"A";0;1;17
210;"A";0;2;21
220;"A";0;2;22
230;"A";0;2;23
240;"A";0;2;24
311;"A";0;3;31
312;"A";0;3;31
321;"A";0;3;32
322;"A";0;3;32
510;"B";0;5;51
520;"B";0;5;52
610;"B";0;6;61
620;"B";0;6;62
710;"B";0;7;71
721;"B";0;7;72
729;"B";0;7;72
810;"B";0;8;81
891;"B";0;8;89
892;"B";0;8;89
893;"B";0;8;89
899;"B";0;8;89
910;"B";0;9;91
990;"B";0;9;99
1010;"C";1;10;101
1020;"C";1;10;102
1030;"C";1;10;103
1040;"C";1;10;104
1050;"C";1;10;105
1061;"C";1;10;106
1062;"C";1;10;106
1071;"C";1;10;107
1072;"C";1;10;107
1073;"C";1;10;107
1074;"C";1;10;107
1075;"C";1;10;107
1079;"C";1;10;107
1080;"C";1;10;108
1101;"C";1;11;110
1102;"C";1;11;110
1103;"C";1;11;110
1104;"C";1;11;110
1200;"C";1;12;120
1311;"C";1;13;131
1312;"C";1;13;131
1313;"C";1;13;131
1391;"C";1;13;139
1392;"C";1;13;139
1393;"C";1;13;139
1394;"C";1;13;139
1399;"C";1;13;139
1410;"C";1;14;141
1420;"C";1;14;142
1430;"C";1;14;143
1511;"C";1;15;151
1512;"C";1;15;151
1520;"C";1;15;152
1610;"C";1;16;161
1621;"C";1;16;162
1622;"C";1;16;162
1623;"C";1;16;162
1629;"C";1;16;162
1701;"C";1;17;170
1702;"C";1;17;170
1709;"C";1;17;170
1811;"C";1;18;181
1812;"C";1;18;181
1820;"C";1;18;182
1910;"C";1;19;191
1920;"C";1;19;192
2011;"C";2;20;201
2012;"C";2;20;201
2013;"C";2;20;201
2021;"C";2;20;202
2022;"C";2;20;202
2023;"C";2;20;202
2029;"C";2;20;202
2030;"C";2;20;203
2100;"C";2;21;210
2211;"C";2;22;221
2219;"C";2;22;221
