isic_rev2_4dig;isic_rev2_1dig;isic_rev2_secdig;isic_rev2_2dig;isic_rev2_3dig
1110;1;"1";11;111
1120;1;"1";11;112
1130;1;"1";11;113
1210;1;"1";12;121
1220;1;"1";12;122
1301;1;"1";13;130
1302;1;"1";13;130
2100;2;"2";21;210
2200;2;"2";22;220
2301;2;"2";23;230
2302;2;"2";23;230
2901;2;"2";29;290
2902;2;"2";29;290
2903;2;"2";29;290
2909;2;"2";29;290
3111;3;"3";31;311
3112;3;"3";31;311
3113;3;"3";31;311
3114;3;"3";31;311
3115;3;"3";31;311
3116;3;"3";31;311
3117;3;"3";31;311
3118;3;"3";31;311
3119;3;"3";31;311
3121;3;"3";31;312
3122;3;"3";31;312
3131;3;"3";31;313
3132;3;"3";31;313
3133;3;"3";31;313
3134;3;"3";31;313
3140;3;"3";31;314
3211;3;"3";32;321
3212;3;"3";32;321
3213;3;"3";32;321
3214;3;"3";32;321
3215;3;"3";32;321
3219;3;"3";32;321
3220;3;"3";32;322
3231;3;"3";32;323
3232;3;"3";32;323
3233;3;"3";32;323
3240;3;"3";32;324
3311;3;"3";33;331
3312;3;"3";33;331
3319;3;"3";33;331
3320;3;"3";33;332
3411;3;"3";34;341
3412;3;"3";34;341
3419;3;"3";34;341
3420;3;"3";34;342
3511;3;"3";35;351
3512;3;"3";35;351
3513;3;"3";35;351
3521;3;"3";35;352
3522;3;"3";35;352
3523;3;"3";35;352
3529;3;"3";35;352
3530;3;"3";35;353
3540;3;"3";35;354
3551;3;"3";35;355
3559;3;"3";35;355
3560;3;"3";35;356
3610;3;"3";36;361
3620;3;"3";36;362
3691;3;"3";36;369
3692;3;"3";36;369
3699;3;"3";36;369
3710;3;"3";37;371
3720;3;"3";37;372
3811;3;"3";38;381
3812;3;"3";38;381
3813;3;"3";38;381
3819;3;"3";38;381
3821;3;"3";38;382
3822;3;"3";38;382
3823;3;"3";38;382
3824;3;"3";38;382
3825;3;"3";38;382
3829;3;"3";38;382
3831;3;"3";38;383
3832;3;"3";38;383
3833;3;"3";38;383
3839;3;"3";38;383
3841;3;"3";38;384
3842;3;"3";38;384
3843;3;"3";38;384
3844;3;"3";38;384
3845;3;"3";38;384
3849;3;"3";38;384
3851;3;"3";38;385
3852;3;"3";38;385
3853;3;"3";38;385
3901;3;"3";39;390
3902;3;"3";39;390
3903;3;"3";39;390
3909;3;"3";39;390
4101;4;"4";41;410
4102;4;"4";41;410
4103;4;"4";41;410
4200;4;"4";42;420
5000;5;"5";50;500
6100;6;"6";61;610
6200;6;"6";62;620
6310;6;"6";63;631
6320;6;"6";63;632
7111;7;"7";71;711
7112;7;"7";71;711
7113;7;"7";71;711
7114;7;"7";71;711
7115;7;"7";71;711
7116;7;"7";71;711
7121;7;"7";71;712
7122;7;"7";71;712
7123;7;"7";71;712
7131;7;"7";71;713
7132;7;"7";71;713
7191;7;"7";71;719
7192;7;"7";71;719
7200;7;"7";72;720
8101;8;"8";81;810
8102;8;"8";81;810
8103;8;"8";81;810
8200;8;"8";82;820
8310;8;"8";83;831
8321;8;"8";83;832
8322;8;"8";83;832
8323;8;"8";83;832
8324;8;"8";83;832
8325;8;"8";83;832
8329;8;"8";83;832
8330;8;"8";83;833
9100;9;"9";91;910
9200;9;"9";92;920
9310;9;"9";93;931
9320;9;"9";93;932
9331;9;"9";93;933
9332;9;"9";93;933
9340;9;"9";93;934
9350;9;"9";93;935
9391;9;"9";93;939
9399;9;"9";93;939
9411;9;"9";94;941
9412;9;"9";94;941
9413;9;"9";94;941
9414;9;"9";94;941
9415;9;"9";94;941
9420;9;"9";94;942
9490;9;"9";94;949
9511;9;"9";95;951
9512;9;"9";95;951
9513;9;"9";95;951
9514;9;"9";95;951
9519;9;"9";95;951
9520;9;"9";95;952
9530;9;"9";95;953
9591;9;"9";95;959
9592;9;"9";95;959
9599;9;"9";95;959
9600;9;"9";96;960
0;0;"0";0;0
