isco_08_4dig;isco_08_1dig;isco_08_2dig;isco_08_3dig
110;0;1;11
210;0;2;21
310;0;3;31
1111;1;11;111
1112;1;11;111
1113;1;11;111
1114;1;11;111
1120;1;11;112
1211;1;12;121
1212;1;12;121
1213;1;12;121
1219;1;12;121
1221;1;12;122
1222;1;12;122
1223;1;12;122
1311;1;13;131
1312;1;13;131
1321;1;13;132
1322;1;13;132
1323;1;13;132
1324;1;13;132
1330;1;13;133
1341;1;13;134
1342;1;13;134
1343;1;13;134
1344;1;13;134
1345;1;13;134
1346;1;13;134
1349;1;13;134
1411;1;14;141
1412;1;14;141
1420;1;14;142
1431;1;14;143
1439;1;14;143
2111;2;21;211
2112;2;21;211
2113;2;21;211
2114;2;21;211
2120;2;21;212
2131;2;21;213
2132;2;21;213
2133;2;21;213
2141;2;21;214
2142;2;21;214
2143;2;21;214
2144;2;21;214
2145;2;21;214
2146;2;21;214
2149;2;21;214
2151;2;21;215
2152;2;21;215
2153;2;21;215
2161;2;21;216
2162;2;21;216
2163;2;21;216
2164;2;21;216
2165;2;21;216
2166;2;21;216
2211;2;22;221
2212;2;22;221
2221;2;22;222
2222;2;22;222
2230;2;22;223
2240;2;22;224
2250;2;22;225
2261;2;22;226
2262;2;22;226
2263;2;22;226
2264;2;22;226
2265;2;22;226
2266;2;22;226
2267;2;22;226
2269;2;22;226
2310;2;23;231
2320;2;23;232
2330;2;23;233
2341;2;23;234
2342;2;23;234
2351;2;23;235
2352;2;23;235
2353;2;23;235
2354;2;23;235
2355;2;23;235
2356;2;23;235
2359;2;23;235
2411;2;24;241
2412;2;24;241
2413;2;24;241
2421;2;24;242
2422;2;24;242
2423;2;24;242
2424;2;24;242
2431;2;24;243
2432;2;24;243
2433;2;24;243
2434;2;24;243
2511;2;25;251
2512;2;25;251
2513;2;25;251
2514;2;25;251
2519;2;25;251
2521;2;25;252
2522;2;25;252
2523;2;25;252
2529;2;25;252
2611;2;26;261
2612;2;26;261
2619;2;26;261
2621;2;26;262
2622;2;26;262
2631;2;26;263
2632;2;26;263
2633;2;26;263
2634;2;26;263
2635;2;26;263
2636;2;26;263
2641;2;26;264
2642;2;26;264
2643;2;26;264
2651;2;26;265
2652;2;26;265
2653;2;26;265
2654;2;26;265
2655;2;26;265
2656;2;26;265
2659;2;26;265
3111;3;31;311
3112;3;31;311
3113;3;31;311
3114;3;31;311
3115;3;31;311
3116;3;31;311
3117;3;31;311
3118;3;31;311
3119;3;31;311
3121;3;31;312
3122;3;31;312
3123;3;31;312
3131;3;31;313
3132;3;31;313
3133;3;31;313
3134;3;31;313
3135;3;31;313
3139;3;31;313
3141;3;31;314
3142;3;31;314
3143;3;31;314
3151;3;31;315
3152;3;31;315
3153;3;31;315
3154;3;31;315
3155;3;31;315
3211;3;32;321
3212;3;32;321
3213;3;32;321
3214;3;32;321
3221;3;32;322
3222;3;32;322
3230;3;32;323
3240;3;32;324
3251;3;32;325
3252;3;32;325
3253;3;32;325
3254;3;32;325
3255;3;32;325
3256;3;32;325
3257;3;32;325
3258;3;32;325
3259;3;32;325
3311;3;33;331
3312;3;33;331
3313;3;33;331
3314;3;33;331
3315;3;33;331
3321;3;33;332
3322;3;33;332
3323;3;33;332
3324;3;33;332
3331;3;33;333
3332;3;33;333
3333;3;33;333
3334;3;33;333
3339;3;33;333
3341;3;33;334
3342;3;33;334
3343;3;33;334
3344;3;33;334
3351;3;33;335
3352;3;33;335
3353;3;33;335
3354;3;33;335
3355;3;33;335
3359;3;33;335
3411;3;34;341
3412;3;34;341
3413;3;34;341
3421;3;34;342
3422;3;34;342
3423;3;34;342
3431;3;34;343
3432;3;34;343
3433;3;34;343
3434;3;34;343
3435;3;34;343
3511;3;35;351
3512;3;35;351
3513;3;35;351
3514;3;35;351
3521;3;35;352
3522;3;35;352
4110;4;41;411
4120;4;41;412
4131;4;41;413
4132;4;41;413
4211;4;42;421
4212;4;42;421
4213;4;42;421
4214;4;42;421
4221;4;42;422
4222;4;42;422
4223;4;42;422
4224;4;42;422
4225;4;42;422
4226;4;42;422
4227;4;42;422
4229;4;42;422
4311;4;43;431
4312;4;43;431
4313;4;43;431
4321;4;43;432
4322;4;43;432
4323;4;43;432
4411;4;44;441
4412;4;44;441
4413;4;44;441
4414;4;44;441
4415;4;44;441
4416;4;44;441
4419;4;44;441
5111;5;51;511
5112;5;51;511
5113;5;51;511
5120;5;51;512
5131;5;51;513
5132;5;51;513
5141;5;51;514
5142;5;51;514
5151;5;51;515
5152;5;51;515
5153;5;51;515
5161;5;51;516
5162;5;51;516
5163;5;51;516
5164;5;51;516
5165;5;51;516
5169;5;51;516
5211;5;52;521
5212;5;52;521
5221;5;52;522
5222;5;52;522
5223;5;52;522
5230;5;52;523
5241;5;52;524
5242;5;52;524
5243;5;52;524
5244;5;52;524
5245;5;52;524
5246;5;52;524
5249;5;52;524
5311;5;53;531
5312;5;53;531
5321;5;53;532
5322;5;53;532
5329;5;53;532
5411;5;54;541
5412;5;54;541
5413;5;54;541
5414;5;54;541
5419;5;54;541
6111;6;61;611
6112;6;61;611
6113;6;61;611
6114;6;61;611
6121;6;61;612
6122;6;61;612
6123;6;61;612
6129;6;61;612
6130;6;61;613
6210;6;62;621
6221;6;62;622
6222;6;62;622
6223;6;62;622
6224;6;62;622
6310;6;63;631
6320;6;63;632
6330;6;63;633
6340;6;63;634
7111;7;71;711
7112;7;71;711
7113;7;71;711
7114;7;71;711
7115;7;71;711
7119;7;71;711
7121;7;71;712
7122;7;71;712
7123;7;71;712
7124;7;71;712
7125;7;71;712
7126;7;71;712
7127;7;71;712
7131;7;71;713
7132;7;71;713
7133;7;71;713
7211;7;72;721
7212;7;72;721
7213;7;72;721
7214;7;72;721
7215;7;72;721
