isic_rev31_4dig;isic_rev31_secdig;isic_rev31_1dig;isic_rev31_2dig;isic_rev31_3dig
111;"A";0;1;11
112;"A";0;1;11
113;"A";0;1;11
121;"A";0;1;12
122;"A";0;1;12
130;"A";0;1;13
140;"A";0;1;14
150;"A";0;1;15
200;"A";0;2;20
501;"B";0;5;50
502;"B";0;5;50
1010;"C";1;10;101
1020;"C";1;10;102
1030;"C";1;10;103
1110;"C";1;11;111
1120;"C";1;11;112
1200;"C";1;12;120
1310;"C";1;13;131
1320;"C";1;13;132
1410;"C";1;14;141
1421;"C";1;14;142
1422;"C";1;14;142
1429;"C";1;14;142
1511;"D";1;15;151
1512;"D";1;15;151
1513;"D";1;15;151
1514;"D";1;15;151
1520;"D";1;15;152
1531;"D";1;15;153
1532;"D";1;15;153
1533;"D";1;15;153
1541;"D";1;15;154
1542;"D";1;15;154
1543;"D";1;15;154
1544;"D";1;15;154
1549;"D";1;15;154
1551;"D";1;15;155
1552;"D";1;15;155
1553;"D";1;15;155
1554;"D";1;15;155
1600;"D";1;16;160
1711;"D";1;17;171
1712;"D";1;17;171
1721;"D";1;17;172
1722;"D";1;17;172
1723;"D";1;17;172
1729;"D";1;17;172
1730;"D";1;17;173
1810;"D";1;18;181
1820;"D";1;18;182
1911;"D";1;19;191
1912;"D";1;19;191
1920;"D";1;19;192
2010;"D";2;20;201
2021;"D";2;20;202
2022;"D";2;20;202
2023;"D";2;20;202
2029;"D";2;20;202
2101;"D";2;21;210
2102;"D";2;21;210
2109;"D";2;21;210
2211;"D";2;22;221
2212;"D";2;22;221
2213;"D";2;22;221
2219;"D";2;22;221
2221;"D";2;22;222
2222;"D";2;22;222
2230;"D";2;22;223
2310;"D";2;23;231
2320;"D";2;23;232
2330;"D";2;23;233
2411;"D";2;24;241
2412;"D";2;24;241
2413;"D";2;24;241
2421;"D";2;24;242
2422;"D";2;24;242
2423;"D";2;24;242
2424;"D";2;24;242
2429;"D";2;24;242
2430;"D";2;24;243
2511;"D";2;25;251
2519;"D";2;25;251
2520;"D";2;25;252
2610;"D";2;26;261
2691;"D";2;26;269
2692;"D";2;26;269
2693;"D";2;26;269
2694;"D";2;26;269
2695;"D";2;26;269
2696;"D";2;26;269
2699;"D";2;26;269
2710;"D";2;27;271
2720;"D";2;27;272
2731;"D";2;27;273
2732;"D";2;27;273
2811;"D";2;28;281
2812;"D";2;28;281
2813;"D";2;28;281
2891;"D";2;28;289
2892;"D";2;28;289
2893;"D";2;28;289
2899;"D";2;28;289
2911;"D";2;29;291
2912;"D";2;29;291
2913;"D";2;29;291
2914;"D";2;29;291
