"Code","Label","Version"
"7230","machinery mechanics and repairers","isco_2008"
"7310","handicraft workers","isco_2008"
"7320","printing trades workers","isco_2008"
"7410","electrical equipment installers and repairers","isco_2008"
"7420","electronics and telecommunications installers and repairers","isco_2008"
"7510","food processing and related trades workers","isco_2008"
"7520","wood treaters, cabinet-makers and related trades workers","isco_2008"
"7530","garment and related trades workers","isco_2008"
"7540","other craft and related workers","isco_2008"
"8110","mining and mineral processing plant operators","isco_2008"
"8120","metal processing and finishing plant operators","isco_2008"
"8130","chemical and photographic products plant and machine operators","isco_2008"
"8140","rubber, plastic and paper products machine operators","isco_2008"
"8150","textile, fur and leather products machine operators","isco_2008"
"8160","food and related products machine operators","isco_2008"
"8170","wood processing and papermaking plant operators","isco_2008"
"8180","other stationary plant and machine operators","isco_2008"
"8210","assemblers","isco_2008"
"8310","locomotive engine drivers and related workers","isco_2008"
"8320","car, van and motorcycle drivers","isco_2008"
"8330","heavy truck and bus drivers","isco_2008"
"8340","mobile plant operators","isco_2008"
"8350","ships’ deck crews and related workers","isco_2008"
"9110","domestic, hotel and office cleaners and helpers","isco_2008"
"9120","vehicle, window, laundry and other hand cleaning workers","isco_2008"
"9210","agricultural, forestry and fishery labourers","isco_2008"
"9310","mining and construction labourers","isco_2008"
"9320","manufacturing labourers","isco_2008"
"9330","transport and storage labourers","isco_2008"
"9410","food preparation assistants","isco_2008"
"9510","street and related services workers","isco_2008"
"9520","street vendors (excluding food)","isco_2008"
"9610","refuse workers","isco_2008"
"9620","other elementary workers","isco_2008"
"0110","commissioned armed forces officers","isco_2008"
"0210","non-commissioned armed forces officers","isco_2008"
"0310","armed forces occupations, other ranks","isco_2008"
"1111","legislators","isco_2008"
"1112","senior government officials","isco_2008"
"1113","traditional chiefs and heads of villages","isco_2008"
"1114","senior officials of special-interest organizations","isco_2008"
"1211","finance managers","isco_2008"
"1212","human resource managers","isco_2008"
"1213","policy and planning managers","isco_2008"
"1219","business services and administration managers not elsewhere classified","isco_2008"
"1221","sales and marketing managers","isco_2008"
"1222","advertising and public relations managers","isco_2008"
"1223","research and development managers","isco_2008"
"1311","agricultural and forestry production managers","isco_2008"
"1312","aquaculture and fisheries production managers","isco_2008"
"1321","manufacturing managers","isco_2008"
"1322","mining managers","isco_2008"
"1323","construction managers","isco_2008"
"1324","supply, distribution and related managers","isco_2008"
"1341","child care services managers","isco_2008"
"1342","health services managers","isco_2008"
"1343","aged care services managers","isco_2008"
"1344","social welfare managers","isco_2008"
"1345","education managers","isco_2008"
"1346","financial and insurance services branch managers","isco_2008"
"1349","professional services managers not elsewhere classified","isco_2008"
"1411","hotel managers","isco_2008"
"1412","restaurant managers","isco_2008"
"1431","sports, recreation and cultural centre managers","isco_2008"
"1439","services managers not elsewhere classified","isco_2008"
"2111","physicists and astronomers","isco_2008"
"2112","meteorologists","isco_2008"
"2113","chemists","isco_2008"
"2114","geologists and geophysicists","isco_2008"
"2131","biologists, botanists, zoologists and related professionals","isco_2008"
"2132","farming, forestry and fisheries advisers","isco_2008"
"2133","environmental protection professionals","isco_2008"
"2141","industrial and production engineers","isco_2008"
"2142","civil engineers","isco_2008"
"2143","environmental engineers","isco_2008"
"2144","mechanical engineers","isco_2008"
"2145","chemical engineers","isco_2008"
"2146","mining engineers, metallurgists and related professionals","isco_2008"
"2149","engineering professionals not elsewhere classified","isco_2008"
"2151","electrical engineers","isco_2008"
