isic_rev2_4dig;isic_rev3_4dig;isic_rev2_secdig;isic_rev2_2dig;isic_rev2_3dig;isic_rev3_secdig;isic_rev3_2dig;isic_rev3_3dig
1110;111;"1";11;111;"A";1;11
1110;112;"1";11;111;"A";1;11
1110;113;"1";11;111;"A";1;11
1110;121;"1";11;111;"A";1;12
1110;122;"1";11;111;"A";1;12
1110;130;"1";11;111;"A";1;13
1110;140;"1";11;111;"A";1;14
1110;200;"1";11;111;"A";2;20
1120;122;"1";11;112;"A";1;12
1120;140;"1";11;112;"A";1;14
1120;7414;"1";11;112;"K";74;741
1130;150;"1";11;113;"A";1;15
1210;112;"1";12;121;"A";1;11
1210;200;"1";12;121;"A";2;20
1220;200;"1";12;122;"A";2;20
1301;150;"1";13;130;"A";1;15
1301;500;"1";13;130;"B";5;50
1302;122;"1";13;130;"A";1;12
1302;150;"1";13;130;"A";1;15
1302;500;"1";13;130;"B";5;50
2100;1010;"2";21;210;"C";10;101
2100;1020;"2";21;210;"C";10;102
2200;1010;"2";22;220;"C";10;101
2200;1110;"2";22;220;"C";11;111
2200;1120;"2";22;220;"C";11;112
2301;1310;"2";23;230;"C";13;131
2302;1200;"2";23;230;"C";12;120
2302;1320;"2";23;230;"C";13;132
2901;1410;"2";29;290;"C";14;141
2901;1429;"2";29;290;"C";14;142
2902;1421;"2";29;290;"C";14;142
2903;1422;"2";29;290;"C";14;142
2909;1030;"2";29;290;"C";10;103
2909;1410;"2";29;290;"C";14;141
2909;1429;"2";29;290;"C";14;142
3111;1511;"3";31;311;"D";15;151
3111;1549;"3";31;311;"D";15;154
3112;1520;"3";31;311;"D";15;152
3113;1513;"3";31;311;"D";15;151
3113;1549;"3";31;311;"D";15;154
3114;1512;"3";31;311;"D";15;151
3114;1549;"3";31;311;"D";15;154
3115;1511;"3";31;311;"D";15;151
3115;1512;"3";31;311;"D";15;151
3115;1514;"3";31;311;"D";15;151
3115;1532;"3";31;311;"D";15;153
3116;1513;"3";31;311;"D";15;151
3116;1531;"3";31;311;"D";15;153
3116;1532;"3";31;311;"D";15;153
3117;1541;"3";31;311;"D";15;154
3117;1544;"3";31;311;"D";15;154
3118;1542;"3";31;311;"D";15;154
3119;1543;"3";31;311;"D";15;154
3119;1549;"3";31;311;"D";15;154
3121;1513;"3";31;312;"D";15;151
3121;1532;"3";31;312;"D";15;153
3121;1542;"3";31;312;"D";15;154
3121;1543;"3";31;312;"D";15;154
3121;1544;"3";31;312;"D";15;154
3121;1549;"3";31;312;"D";15;154
3121;2429;"3";31;312;"D";24;242
3122;1531;"3";31;312;"D";15;153
3122;1533;"3";31;312;"D";15;153
3131;1551;"3";31;313;"D";15;155
3132;1552;"3";31;313;"D";15;155
3133;1553;"3";31;313;"D";15;155
3134;1554;"3";31;313;"D";15;155
3140;1600;"3";31;314;"D";16;160
3211;140;"3";32;321;"A";1;14
3211;1711;"3";32;321;"D";17;171
3211;1712;"3";32;321;"D";17;171
3211;1729;"3";32;321;"D";17;172
3211;2430;"3";32;321;"D";24;243
3211;2610;"3";32;321;"D";26;261
3212;1721;"3";32;321;"D";17;172
3212;1810;"3";32;321;"D";18;181
3212;2520;"3";32;321;"D";25;252
3213;1721;"3";32;321;"D";17;172
3213;1730;"3";32;321;"D";17;173
3214;1722;"3";32;321;"D";17;172
3214;2029;"3";32;321;"D";20;202
3215;1723;"3";32;321;"D";17;172
3219;1712;"3";32;321;"D";17;171
3219;1729;"3";32;321;"D";17;172
3219;1820;"3";32;321;"D";18;182
3219;3699;"3";32;321;"D";36;369
3219;3720;"3";32;321;"D";37;372
3220;1810;"3";32;322;"D";18;181
3220;1820;"3";32;322;"D";18;182
3231;1911;"3";32;323;"D";19;191
3232;1820;"3";32;323;"D";18;182
3233;1912;"3";32;323;"D";19;191
3233;3699;"3";32;323;"D";36;369
3240;1920;"3";32;324;"D";19;192
3240;2899;"3";32;324;"D";28;289
3311;2010;"3";33;331;"D";20;201
3311;2021;"3";33;331;"D";20;202
3311;2022;"3";33;331;"D";20;202
3311;2023;"3";33;331;"D";20;202
3312;2023;"3";33;331;"D";20;202
3312;2029;"3";33;331;"D";20;202
3319;1920;"3";33;331;"D";19;192
3319;2010;"3";33;331;"D";20;201
3319;2029;"3";33;331;"D";20;202
3319;3699;"3";33;331;"D";36;369
3320;1721;"3";33;332;"D";17;172
3320;2029;"3";33;332;"D";20;202
3320;3610;"3";33;332;"D";36;361
3320;3699;"3";33;332;"D";36;369
3411;2021;"3";34;341;"D";20;202
3411;2101;"3";34;341;"D";21;210
3411;2102;"3";34;341;"D";21;210
3411;2699;"3";34;341;"D";26;269
3412;2102;"3";34;341;"D";21;210
3412;2109;"3";34;341;"D";21;210
3412;2899;"3";34;341;"D";28;289
3419;1920;"3";34;341;"D";19;192
3419;2101;"3";34;341;"D";21;210
3419;2109;"3";34;341;"D";21;210
3420;2109;"3";34;342;"D";21;210
