isic_rev3_4dig;isic_rev31_4dig;isic_rev31_secdig;isic_rev31_2dig;isic_rev31_3dig;isic_rev3_secdig;isic_rev3_2dig;isic_rev3_3dig
111;111;"A";1;11;"A";1;11
112;112;"A";1;11;"A";1;11
112;113;"A";1;11;"A";1;11
113;113;"A";1;11;"A";1;11
200;113;"A";1;11;"A";2;20
121;121;"A";1;12;"A";1;12
122;122;"A";1;12;"A";1;12
130;130;"A";1;13;"A";1;13
140;140;"A";1;14;"A";1;14
150;150;"A";1;15;"A";1;15
200;200;"A";2;20;"A";2;20
500;501;"B";5;50;"B";5;50
500;502;"B";5;50;"B";5;50
1010;1010;"C";10;101;"C";10;101
1020;1020;"C";10;102;"C";10;102
1030;1030;"C";10;103;"C";10;103
1110;1110;"C";11;111;"C";11;111
1120;1120;"C";11;112;"C";11;112
1200;1200;"C";12;120;"C";12;120
1310;1310;"C";13;131;"C";13;131
1320;1320;"C";13;132;"C";13;132
1410;1410;"C";14;141;"C";14;141
1421;1421;"C";14;142;"C";14;142
1422;1422;"C";14;142;"C";14;142
1429;1429;"C";14;142;"C";14;142
1511;1511;"D";15;151;"D";15;151
1512;1512;"D";15;151;"D";15;151
1513;1513;"D";15;151;"D";15;151
1549;1513;"D";15;151;"D";15;154
1514;1514;"D";15;151;"D";15;151
1520;1520;"D";15;152;"D";15;152
1531;1531;"D";15;153;"D";15;153
1532;1532;"D";15;153;"D";15;153
1533;1533;"D";15;153;"D";15;153
1541;1541;"D";15;154;"D";15;154
1542;1542;"D";15;154;"D";15;154
1543;1543;"D";15;154;"D";15;154
1544;1544;"D";15;154;"D";15;154
1549;1549;"D";15;154;"D";15;154
1551;1551;"D";15;155;"D";15;155
1552;1552;"D";15;155;"D";15;155
1553;1553;"D";15;155;"D";15;155
1554;1554;"D";15;155;"D";15;155
1600;1600;"D";16;160;"D";16;160
1711;1711;"D";17;171;"D";17;171
1712;1712;"D";17;171;"D";17;171
1721;1721;"D";17;172;"D";17;172
1722;1722;"D";17;172;"D";17;172
1723;1723;"D";17;172;"D";17;172
1729;1729;"D";17;172;"D";17;172
1730;1730;"D";17;173;"D";17;173
1810;1810;"D";18;181;"D";18;181
1820;1820;"D";18;182;"D";18;182
1911;1911;"D";19;191;"D";19;191
1912;1912;"D";19;191;"D";19;191
1920;1920;"D";19;192;"D";19;192
2010;2010;"D";20;201;"D";20;201
2021;2021;"D";20;202;"D";20;202
2022;2022;"D";20;202;"D";20;202
2023;2023;"D";20;202;"D";20;202
2029;2029;"D";20;202;"D";20;202
2101;2101;"D";21;210;"D";21;210
2102;2102;"D";21;210;"D";21;210
2109;2109;"D";21;210;"D";21;210
2211;2211;"D";22;221;"D";22;221
2212;2212;"D";22;221;"D";22;221
2211;2213;"D";22;221;"D";22;221
2213;2213;"D";22;221;"D";22;221
2219;2219;"D";22;221;"D";22;221
2221;2221;"D";22;222;"D";22;222
2222;2222;"D";22;222;"D";22;222
2230;2230;"D";22;223;"D";22;223
2310;2310;"D";23;231;"D";23;231
2320;2320;"D";23;232;"D";23;232
2330;2330;"D";23;233;"D";23;233
2411;2411;"D";24;241;"D";24;241
2412;2412;"D";24;241;"D";24;241
2413;2413;"D";24;241;"D";24;241
2421;2421;"D";24;242;"D";24;242
2422;2422;"D";24;242;"D";24;242
2423;2423;"D";24;242;"D";24;242
2424;2424;"D";24;242;"D";24;242
2429;2429;"D";24;242;"D";24;242
