isic_rev4_4dig;isic_rev4_secdig;isic_rev2_4dig;isic_rev2_secdig
2817;"C";3240;
3230;"C";3240;
3290;"C";3240;
3311;"C";3240;
1610;"C";3311;"D"
1621;"C";3311;"D"
1622;"C";3311;"D"
1623;"C";3311;"D"
3319;"C";3311;"D"
1623;"C";3312;"D"
1629;"C";3312;"D"
3290;"C";3312;"D"
3319;"C";3312;"D"
1399;"C";3319;
1512;"C";3319;
1520;"C";3319;
1610;"C";3319;
1629;"C";3319;
1709;"C";3319;
2029;"C";3319;
2219;"C";3319;
2220;"C";3319;
2599;"C";3319;
2829;"C";3319;
3092;"C";3319;
3212;"C";3319;
3230;"C";3319;
3290;"C";3319;
3312;"C";3319;
3319;"C";3319;
1392;"C";3320;"D"
1399;"C";3320;"D"
1512;"C";3320;"D"
1629;"C";3320;"D"
1709;"C";3320;"D"
2029;"C";3320;"D"
2219;"C";3320;"D"
2220;"C";3320;"D"
2599;"C";3320;"D"
2817;"C";3320;"D"
2829;"C";3320;"D"
2930;"C";3320;"D"
3011;"C";3320;"D"
3020;"C";3320;"D"
3030;"C";3320;"D"
3092;"C";3320;"D"
3100;"C";3320;"D"
3212;"C";3320;"D"
3250;"C";3320;"D"
3290;"C";3320;"D"
3312;"C";3320;"D"
3319;"C";3320;"D"
9524;"S";3320;"D"
1312;"C";3411;
1621;"C";3411;
1701;"C";3411;
1702;"C";3411;
2399;"C";3411;
3290;"C";3411;
3319;"C";3411;
1702;"C";3412;
1709;"C";3412;
1811;"C";3412;
2220;"C";3412;
1512;"C";3419;
1520;"C";3419;
1629;"C";3419;
1701;"C";3419;
1709;"C";3419;
1811;"C";3419;
2219;"C";3419;
2220;"C";3419;
3230;"C";3419;
1709;"C";3420;"D"
1811;"C";3420;"D"
1812;"C";3420;"D"
2220;"C";3420;"D"
3290;"C";3420;"D"
5811;"J";3420;"D"
5812;"J";3420;"D"
5813;"J";3420;"D"
5819;"J";3420;"D"
5920;"J";3420;"D"
1079;"C";3511;"D"
1910;"C";3511;"D"
2011;"C";3511;"D"
2012;"C";3511;"D"
2029;"C";3511;"D"
2100;"C";3511;"D"
2420;"C";3511;"D"
2610;"C";3511;"D"
2680;"C";3511;"D"
2817;"C";3511;"D"
3812;"E";3511;"D"
3821;"E";3511;"D"
3822;"E";3511;"D"
2012;"C";3512;"D"
2021;"C";3512;"D"
