isic_rev4_4dig;isic_rev4_secdig;isic_rev2_4dig;isic_rev2_secdig
5610;"I";9340;
5621;"I";9340;
5629;"I";9340;
5630;"I";9340;
8550;"P";9340;
8720;"Q";9340;
8730;"Q";9340;
8790;"Q";9340;
8810;"Q";9340;
8890;"Q";9340;
9411;"S";9350;
9412;"S";9350;
9420;"S";9350;
9491;"S";9391;
9492;"S";9399;
9499;"S";9399;
1820;"C";9411;
5911;"J";9411;
5912;"J";9411;
5913;"J";9411;
5920;"J";9411;
7810;"N";9411;
9200;"R";9411;
9329;"R";9411;
5911;"J";9412;
5912;"J";9412;
5913;"J";9412;
5914;"J";9412;
5920;"J";9412;
7721;"N";9412;
7722;"N";9412;
7729;"N";9412;
7730;"N";9412;
5911;"J";9413;
5920;"J";9413;
6010;"J";9413;
6020;"J";9413;
6110;"J";9413;
6120;"J";9413;
6130;"J";9413;
6190;"J";9413;
5911;"J";9414;
5912;"J";9414;
5913;"J";9414;
5920;"J";9414;
6399;"J";9414;
7310;"M";9414;
7410;"M";9414;
7490;"M";9414;
7721;"N";9414;
7722;"N";9414;
7729;"N";9414;
7730;"N";9414;
7810;"N";9414;
7990;"N";9414;
8211;"N";9414;
8219;"N";9414;
8220;"N";9414;
8230;"N";9414;
8291;"N";9414;
8299;"N";9414;
8542;"P";9414;
8550;"P";9414;
9000;"R";9414;
9200;"R";9414;
9321;"R";9414;
9329;"R";9414;
7990;"N";9415;
9000;"R";9415;
5912;"J";9420;
9101;"R";9420;
9102;"R";9420;
9103;"R";9420;
161;"A";9490;
162;"A";9490;
163;"A";9490;
164;"A";9490;
4922;"H";9490;
7710;"N";9490;
7721;"N";9490;
7722;"N";9490;
7729;"N";9490;
7730;"N";9490;
7810;"N";9490;
7990;"N";9490;
8130;"N";9490;
8541;"P";9490;
8542;"P";9490;
8549;"P";9490;
9000;"R";9490;
9200;"R";9490;
9311;"R";9490;
9312;"R";9490;
9319;"R";9490;
9321;"R";9490;
9329;"R";9490;
9609;"S";9490;
3313;"C";9511;
8020;"N";9511;
9512;"S";9511;
9521;"S";9511;
9522;"S";9511;
9523;"S";9511;
9524;"S";9511;
9529;"S";9511;
3313;"C";9512;
4321;"F";9512;
4322;"F";9512;
4329;"F";9512;
4330;"F";9512;
4390;"F";9512;
8020;"N";9512;
9512;"S";9512;
9521;"S";9512;
9522;"S";9512;
9523;"S";9512;
9524;"S";9512;
9529;"S";9512;
4520;"G";9513;
4540;"G";9513;
5221;"H";9513;
3313;"C";9514;
8020;"N";9514;
9512;"S";9514;
9521;"S";9514;
9522;"S";9514;
9523;"S";9514;
9524;"S";9514;
9529;"S";9514;
3312;"C";9519;
3313;"C";9519;
4540;"G";9519;
8020;"N";9519;
9511;"S";9519;
9512;"S";9519;
9521;"S";9519;
9522;"S";9519;
9523;"S";9519;
9524;"S";9519;
9529;"S";9519;
3313;"C";9520;
8020;"N";9520;
9512;"S";9520;
9521;"S";9520;
9522;"S";9520;
9523;"S";9520;
9524;"S";9520;
9529;"S";9520;
9601;"S";9520;
9700;"T";9530;
8522;"P";9591;
8542;"P";9591;
8549;"P";9591;
9602;"S";9591;
7420;"M";9592;
7911;"N";9599;
7912;"N";9599;
7990;"N";9599;
8121;"N";9599;
8129;"N";9599;
8541;"P";9599;
9603;"S";9599;
9609;"S";9599;
9900;"U";9600;
