isic_rev3_4dig;isic_rev3_secdig;isic_rev3_2dig;isic_rev3_3dig;isic_rev4_4dig;isic_rev4_secdig;isic_rev4_2dig;isic_rev4_3dig
1721;"D";17;172;3250;"C";32;325
1721;"D";17;172;3319;"C";33;331
1722;"D";17;172;1393;"C";13;139
1723;"D";17;172;1394;"C";13;139
1723;"D";17;172;3319;"C";33;331
1729;"D";17;172;1313;"C";13;131
1729;"D";17;172;1399;"C";13;139
1729;"D";17;172;1709;"C";17;170
1730;"D";17;173;1391;"C";13;139
1730;"D";17;173;1430;"C";14;143
1810;"D";18;181;1313;"C";13;131
1810;"D";18;181;1410;"C";14;141
1810;"D";18;181;3290;"C";32;329
1820;"D";18;182;1420;"C";14;142
1820;"D";18;182;1511;"C";15;151
1911;"D";19;191;1511;"C";15;151
1912;"D";19;191;1512;"C";15;151
1912;"D";19;191;3290;"C";32;329
1920;"D";19;192;1512;"C";15;151
1920;"D";19;192;1520;"C";15;152
1920;"D";19;192;1629;"C";16;162
1920;"D";19;192;2219;"C";22;221
1920;"D";19;192;2220;"C";22;222
1920;"D";19;192;3230;"C";32;323
2010;"D";20;201;1610;"C";16;161
2021;"D";20;202;1621;"C";16;162
2022;"D";20;202;1622;"C";16;162
2023;"D";20;202;1623;"C";16;162
2023;"D";20;202;3319;"C";33;331
2029;"D";20;202;1629;"C";16;162
2029;"D";20;202;3290;"C";32;329
2029;"D";20;202;3319;"C";33;331
2101;"D";21;210;1701;"C";17;170
2102;"D";21;210;1702;"C";17;170
2109;"D";21;210;1709;"C";17;170
2109;"D";21;210;1811;"C";18;181
2109;"D";21;210;2220;"C";22;222
2211;"D";22;221;3290;"C";32;329
2211;"D";22;221;5811;"J";58;581
2211;"D";22;221;5812;"J";58;581
2211;"D";22;221;5920;"J";59;592
2212;"D";22;221;5813;"J";58;581
2213;"D";22;221;5920;"J";59;592
2219;"D";22;221;5813;"J";58;581
2219;"D";22;221;5819;"J";58;581
2221;"D";22;222;1709;"C";17;170
2221;"D";22;222;1811;"C";18;181
2222;"D";22;222;1812;"C";18;181
2230;"D";22;223;1820;"C";18;182
2310;"D";23;231;1910;"C";19;191
2320;"D";23;232;1920;"C";19;192
2330;"D";23;233;2011;"C";20;201
2330;"D";23;233;2100;"C";21;210
2330;"D";23;233;2420;"C";24;242
2330;"D";23;233;3812;"E";38;381
2330;"D";23;233;3822;"E";38;382
2411;"D";24;241;1910;"C";19;191
2411;"D";24;241;2011;"C";20;201
2412;"D";24;241;2012;"C";20;201
2412;"D";24;241;3821;"E";38;382
2413;"D";24;241;2013;"C";20;201
2421;"D";24;242;2021;"C";20;202
2422;"D";24;242;2022;"C";20;202
2423;"D";24;242;2100;"C";21;210
2423;"D";24;242;3250;"C";32;325
2424;"D";24;242;2023;"C";20;202
2429;"D";24;242;1079;"C";10;107
2429;"D";24;242;2011;"C";20;201
2429;"D";24;242;2029;"C";20;202
2429;"D";24;242;2610;"C";26;261
2429;"D";24;242;2680;"C";26;268
2429;"D";24;242;2817;"C";28;281
2430;"D";24;243;2030;"C";20;203
2511;"D";25;251;2211;"C";22;221
2519;"D";25;251;2219;"C";22;221
2519;"D";25;251;2220;"C";22;222
2519;"D";25;251;2812;"C";28;281
2519;"D";25;251;3290;"C";32;329
2519;"D";25;251;3319;"C";33;331
2520;"D";25;252;2220;"C";22;222
2520;"D";25;252;2610;"C";26;261
2520;"D";25;252;2733;"C";27;273
2520;"D";25;252;3290;"C";32;329
2520;"D";25;252;3314;"C";33;331
2520;"D";25;252;3319;"C";33;331
2610;"D";26;261;2310;"C";23;231
2610;"D";26;261;3319;"C";33;331
2691;"D";26;269;2392;"C";23;239
2691;"D";26;269;2393;"C";23;239
2692;"D";26;269;2391;"C";23;239
2693;"D";26;269;2392;"C";23;239
2694;"D";26;269;2394;"C";23;239
2695;"D";26;269;2395;"C";23;239
2696;"D";26;269;2396;"C";23;239
2699;"D";26;269;1312;"C";13;131
2699;"D";26;269;2399;"C";23;239
2699;"D";26;269;3290;"C";32;329
2699;"D";26;269;3319;"C";33;331
2710;"D";27;271;2410;"C";24;241
2710;"D";27;271;2431;"C";24;243
2720;"D";27;272;2420;"C";24;242
2731;"D";27;273;2431;"C";24;243
2732;"D";27;273;2432;"C";24;243
2811;"D";28;281;2511;"C";25;251
2811;"D";28;281;3311;"C";33;331
2812;"D";28;281;2512;"C";25;251
2812;"D";28;281;3311;"C";33;331
2813;"D";28;281;2513;"C";25;251
2813;"D";28;281;3311;"C";33;331
2813;"D";28;281;3320;"C";33;332
2891;"D";28;289;2591;"C";25;259
2892;"D";28;289;162;"A";1;16
2892;"D";28;289;1811;"C";18;181
2892;"D";28;289;2592;"C";25;259
2892;"D";28;289;3311;"C";33;331
2892;"D";28;289;3313;"C";33;331
2892;"D";28;289;8020;"N";80;802
2892;"D";28;289;9512;"S";95;951
2892;"D";28;289;9521;"S";95;952
2892;"D";28;289;9522;"S";95;952
2892;"D";28;289;9523;"S";95;952
2892;"D";28;289;9524;"S";95;952
2892;"D";28;289;9529;"S";95;952
2893;"D";28;289;2593;"C";25;259
2893;"D";28;289;3311;"C";33;331
2899;"D";28;289;2599;"C";25;259
2899;"D";28;289;2817;"C";28;281
2899;"D";28;289;3290;"C";32;329
2899;"D";28;289;3311;"C";33;331
2911;"D";29;291;2811;"C";28;281
2911;"D";29;291;3312;"C";33;331
2911;"D";29;291;3320;"C";33;332
2912;"D";29;291;2811;"C";28;281
2912;"D";29;291;2812;"C";28;281
2912;"D";29;291;2813;"C";28;281
2912;"D";29;291;3312;"C";33;331
2912;"D";29;291;3320;"C";33;332
2913;"D";29;291;2812;"C";28;281
2913;"D";29;291;2814;"C";28;281
2913;"D";29;291;3312;"C";33;331
2914;"D";29;291;2815;"C";28;281
2914;"D";29;291;3312;"C";33;331
2914;"D";29;291;3320;"C";33;332
2915;"D";29;291;2816;"C";28;281
2915;"D";29;291;3312;"C";33;331
2915;"D";29;291;3320;"C";33;332
2919;"D";29;291;2819;"C";28;281
2919;"D";29;291;3250;"C";32;325
2919;"D";29;291;3312;"C";33;331
2919;"D";29;291;3320;"C";33;332
2921;"D";29;292;2821;"C";28;282
2921;"D";29;292;3312;"C";33;331
2921;"D";29;292;3320;"C";33;332
2922;"D";29;292;2790;"C";27;279
2922;"D";29;292;2818;"C";28;281
2922;"D";29;292;2819;"C";28;281
2922;"D";29;292;2822;"C";28;282
2922;"D";29;292;3312;"C";33;331
2922;"D";29;292;3314;"C";33;331
2922;"D";29;292;3320;"C";33;332
2923;"D";29;292;2823;"C";28;282
2923;"D";29;292;3312;"C";33;331
2923;"D";29;292;3320;"C";33;332
2924;"D";29;292;2824;"C";28;282
2924;"D";29;292;3312;"C";33;331
2924;"D";29;292;3320;"C";33;332
2925;"D";29;292;2825;"C";28;282
2925;"D";29;292;3312;"C";33;331
2925;"D";29;292;3320;"C";33;332
2926;"D";29;292;2826;"C";28;282
2926;"D";29;292;3312;"C";33;331
2926;"D";29;292;3320;"C";33;332
2927;"D";29;292;2520;"C";25;252
2927;"D";29;292;3030;"C";30;303
2927;"D";29;292;3040;"C";30;304
2927;"D";29;292;3311;"C";33;331
2929;"D";29;292;2593;"C";25;259
2929;"D";29;292;2790;"C";27;279
2929;"D";29;292;2826;"C";28;282
2929;"D";29;292;2829;"C";28;282
2929;"D";29;292;3311;"C";33;331
2929;"D";29;292;3312;"C";33;331
2929;"D";29;292;3314;"C";33;331
2929;"D";29;292;3320;"C";33;332
2930;"D";29;293;2750;"C";27;275
2930;"D";29;293;2815;"C";28;281
2930;"D";29;293;2819;"C";28;281
3000;"D";30;300;2610;"C";26;261
3000;"D";30;300;2620;"C";26;262
3000;"D";30;300;2817;"C";28;281
3000;"D";30;300;3320;"C";33;332
3110;"D";31;311;2610;"C";26;261
3110;"D";31;311;2710;"C";27;271
3110;"D";31;311;2790;"C";27;279
3110;"D";31;311;2811;"C";28;281
3110;"D";31;311;3312;"C";33;331
3110;"D";31;311;3314;"C";33;331
3110;"D";31;311;3320;"C";33;332
3120;"D";31;312;2610;"C";26;261
3120;"D";31;312;2710;"C";27;271
3120;"D";31;312;2733;"C";27;273
3120;"D";31;312;2790;"C";27;279
3120;"D";31;312;3314;"C";33;331
3130;"D";31;313;2610;"C";26;261
3130;"D";31;313;2731;"C";27;273
3130;"D";31;313;2732;"C";27;273
3130;"D";31;313;2790;"C";27;279
3130;"D";31;313;3314;"C";33;331
3140;"D";31;314;2720;"C";27;272
3140;"D";31;314;3314;"C";33;331
3150;"D";31;315;2740;"C";27;274
3150;"D";31;315;2790;"C";27;279
3150;"D";31;315;3314;"C";33;331
3190;"D";31;319;2599;"C";25;259
3190;"D";31;319;2630;"C";26;263
3190;"D";31;319;2651;"C";26;265
3190;"D";31;319;2733;"C";27;273
3190;"D";31;319;2740;"C";27;274
3190;"D";31;319;2790;"C";27;279
3190;"D";31;319;2822;"C";28;282
3190;"D";31;319;2930;"C";29;293
3190;"D";31;319;3020;"C";30;302
3190;"D";31;319;3313;"C";33;331
3190;"D";31;319;3314;"C";33;331
3210;"D";32;321;2610;"C";26;261
3210;"D";32;321;2790;"C";27;279
3210;"D";32;321;3314;"C";33;331
3220;"D";32;322;2630;"C";26;263
3220;"D";32;322;2651;"C";26;265
3220;"D";32;322;3313;"C";33;331
3220;"D";32;322;3320;"C";33;332
3220;"D";32;322;9512;"S";95;951
3230;"D";32;323;2610;"C";26;261
3230;"D";32;323;2630;"C";26;263
3230;"D";32;323;2640;"C";26;264
3230;"D";32;323;2670;"C";26;267
3230;"D";32;323;2817;"C";28;281
3230;"D";32;323;3312;"C";33;331
3230;"D";32;323;3313;"C";33;331
3230;"D";32;323;9521;"S";95;952
3311;"D";33;331;2660;"C";26;266
3311;"D";33;331;3250;"C";32;325
3311;"D";33;331;3290;"C";32;329
3311;"D";33;331;3313;"C";33;331
3311;"D";33;331;3319;"C";33;331
3311;"D";33;331;3320;"C";33;332
3312;"D";33;331;2651;"C";26;265
3312;"D";33;331;2670;"C";26;267
3312;"D";33;331;2819;"C";28;281
3312;"D";33;331;2829;"C";28;282
3312;"D";33;331;3250;"C";32;325
3312;"D";33;331;3313;"C";33;331
3312;"D";33;331;3319;"C";33;331
3313;"D";33;331;2651;"C";26;265
3313;"D";33;331;3313;"C";33;331
3313;"D";33;331;3320;"C";33;332
3320;"D";33;332;2670;"C";26;267
3320;"D";33;332;2731;"C";27;273
3320;"D";33;332;2829;"C";28;282
3320;"D";33;332;3250;"C";32;325
3320;"D";33;332;3313;"C";33;331
3330;"D";33;333;2652;"C";26;265
3330;"D";33;333;3211;"C";32;321
3330;"D";33;333;3212;"C";32;321
3330;"D";33;333;3319;"C";33;331
3410;"D";34;341;2910;"C";29;291
3420;"D";34;342;2920;"C";29;292
3420;"D";34;342;3311;"C";33;331
3430;"D";34;343;1392;"C";13;139
3430;"D";34;343;2811;"C";28;281
3430;"D";34;343;2930;"C";29;293
3511;"D";35;351;3011;"C";30;301
3511;"D";35;351;3315;"C";33;331
3512;"D";35;351;3012;"C";30;301
3512;"D";35;351;3315;"C";33;331
3520;"D";35;352;3020;"C";30;302
3520;"D";35;352;3315;"C";33;331
3530;"D";35;353;2811;"C";28;281
3530;"D";35;353;2829;"C";28;282
3530;"D";35;353;3030;"C";30;303
3530;"D";35;353;3315;"C";33;331
3591;"D";35;359;2811;"C";28;281
3591;"D";35;359;3091;"C";30;309
3592;"D";35;359;3092;"C";30;309
3599;"D";35;359;2816;"C";28;281
3599;"D";35;359;3099;"C";30;309
3599;"D";35;359;3100;"C";31;310
3599;"D";35;359;3312;"C";33;331
3599;"D";35;359;3315;"C";33;331
3610;"D";36;361;2219;"C";22;221
3610;"D";36;361;2220;"C";22;222
3610;"D";36;361;2817;"C";28;281
3610;"D";36;361;2930;"C";29;293
3610;"D";36;361;3011;"C";30;301
3610;"D";36;361;3020;"C";30;302
3610;"D";36;361;3030;"C";30;303
3610;"D";36;361;3100;"C";31;310
3610;"D";36;361;9524;"S";95;952
3691;"D";36;369;3211;"C";32;321
3692;"D";36;369;3220;"C";32;322
3692;"D";36;369;3319;"C";33;331
3693;"D";36;369;3230;"C";32;323
3693;"D";36;369;3290;"C";32;329
3694;"D";36;369;2640;"C";26;264
3694;"D";36;369;2829;"C";28;282
3694;"D";36;369;3240;"C";32;324
3694;"D";36;369;3312;"C";33;331
3694;"D";36;369;3319;"C";33;331
3699;"D";36;369;1399;"C";13;139
3699;"D";36;369;1512;"C";15;151
3699;"D";36;369;1629;"C";16;162
3699;"D";36;369;1709;"C";17;170
3699;"D";36;369;2029;"C";20;202
3699;"D";36;369;2219;"C";22;221
3699;"D";36;369;2220;"C";22;222
3699;"D";36;369;2599;"C";25;259
3699;"D";36;369;2829;"C";28;282
3699;"D";36;369;3092;"C";30;309
3699;"D";36;369;3212;"C";32;321
3699;"D";36;369;3290;"C";32;329
3699;"D";36;369;3312;"C";33;331
3710;"D";37;371;3830;"E";38;383
3720;"D";37;372;3830;"E";38;383
4010;"E";40;401;3510;"D";35;351
4020;"E";40;402;3520;"D";35;352
4030;"E";40;403;3530;"D";35;353
4100;"E";41;410;3600;"E";36;360
4510;"F";45;451;990;"B";9;99
4510;"F";45;451;3900;"E";39;390
4510;"F";45;451;4311;"F";43;431
4510;"F";45;451;4312;"F";43;431
4520;"F";45;452;4100;"F";41;410
4520;"F";45;452;4210;"F";42;421
4520;"F";45;452;4220;"F";42;422
4520;"F";45;452;4290;"F";42;429
4520;"F";45;452;4390;"F";43;439
4530;"F";45;453;4321;"F";43;432
4530;"F";45;453;4322;"F";43;432
4530;"F";45;453;4329;"F";43;432
4530;"F";45;453;4330;"F";43;433
4530;"F";45;453;4390;"F";43;439
4540;"F";45;454;3320;"C";33;332
4540;"F";45;454;4329;"F";43;432
4540;"F";45;454;4330;"F";43;433
4540;"F";45;454;4390;"F";43;439
4550;"F";45;455;4312;"F";43;431
4550;"F";45;455;4390;"F";43;439
5010;"G";50;501;4510;"G";45;451
5020;"G";50;502;4520;"G";45;452
5020;"G";50;502;5221;"H";52;522
5030;"G";50;503;4530;"G";45;453
5040;"G";50;504;4540;"G";45;454
5050;"G";50;505;4730;"G";47;473
5110;"G";51;511;4610;"G";46;461
5121;"G";51;512;4620;"G";46;462
5122;"G";51;512;4630;"G";46;463
5131;"G";51;513;4641;"G";46;464
5139;"G";51;513;4649;"G";46;464
5139;"G";51;513;4663;"G";46;466
5141;"G";51;514;4661;"G";46;466
5142;"G";51;514;4662;"G";46;466
5143;"G";51;514;4663;"G";46;466
5149;"G";51;514;4669;"G";46;466
5150;"G";51;515;4651;"G";46;465
5150;"G";51;515;4652;"G";46;465
5150;"G";51;515;4653;"G";46;465
5150;"G";51;515;4659;"G";46;465
5190;"G";51;519;4690;"G";46;469
5211;"G";52;521;4711;"G";47;471
5219;"G";52;521;4719;"G";47;471
5220;"G";52;522;4721;"G";47;472
5220;"G";52;522;4722;"G";47;472
5220;"G";52;522;4723;"G";47;472
5231;"G";52;523;4772;"G";47;477
5232;"G";52;523;4751;"G";47;475
5232;"G";52;523;4771;"G";47;477
5233;"G";52;523;4742;"G";47;474
5233;"G";52;523;4753;"G";47;475
5233;"G";52;523;4759;"G";47;475
5233;"G";52;523;4762;"G";47;476
5234;"G";52;523;4752;"G";47;475
5239;"G";52;523;4741;"G";47;474
5239;"G";52;523;4753;"G";47;475
5239;"G";52;523;4761;"G";47;476
5239;"G";52;523;4763;"G";47;476
5239;"G";52;523;4764;"G";47;476
5239;"G";52;523;4773;"G";47;477
5240;"G";52;524;4774;"G";47;477
5240;"G";52;524;6492;"K";64;649
5240;"G";52;524;6499;"K";64;649
5251;"G";52;525;4791;"G";47;479
5252;"G";52;525;4781;"G";47;478
5252;"G";52;525;4782;"G";47;478
5252;"G";52;525;4789;"G";47;478
5259;"G";52;525;4791;"G";47;479
5259;"G";52;525;4799;"G";47;479
5260;"G";52;526;3313;"C";33;331
5260;"G";52;526;8020;"N";80;802
5260;"G";52;526;9512;"S";95;951
5260;"G";52;526;9521;"S";95;952
5260;"G";52;526;9522;"S";95;952
5260;"G";52;526;9523;"S";95;952
5260;"G";52;526;9524;"S";95;952
5260;"G";52;526;9529;"S";95;952
5510;"H";55;551;5510;"I";55;551
5510;"H";55;551;5520;"I";55;552
5510;"H";55;551;5590;"I";55;559
5520;"H";55;552;5610;"I";56;561
5520;"H";55;552;5621;"I";56;562
5520;"H";55;552;5629;"I";56;562
5520;"H";55;552;5630;"I";56;563
6010;"I";60;601;4911;"H";49;491
6010;"I";60;601;4912;"H";49;491
6010;"I";60;601;5221;"H";52;522
6021;"I";60;602;4921;"H";49;492
6021;"I";60;602;4922;"H";49;492
6022;"I";60;602;4922;"H";49;492
6023;"I";60;602;4923;"H";49;492
6030;"I";60;603;4930;"H";49;493
6110;"I";61;611;5011;"H";50;501
6110;"I";61;611;5012;"H";50;501
6120;"I";61;612;5021;"H";50;502
6120;"I";61;612;5022;"H";50;502
6210;"I";62;621;5110;"H";51;511
6210;"I";62;621;5120;"H";51;512
6220;"I";62;622;5110;"H";51;511
6220;"I";62;622;5120;"H";51;512
6301;"I";63;630;5224;"H";52;522
6302;"I";63;630;5210;"H";52;521
6303;"I";63;630;3315;"C";33;331
6303;"I";63;630;5221;"H";52;522
6303;"I";63;630;5222;"H";52;522
6303;"I";63;630;5223;"H";52;522
6304;"I";63;630;7911;"N";79;791
6304;"I";63;630;7912;"N";79;791
6304;"I";63;630;7990;"N";79;799
6309;"I";63;630;5229;"H";52;522
6309;"I";63;630;7490;"M";74;749
6411;"I";64;641;5310;"H";53;531
6411;"I";64;641;8219;"N";82;821
6412;"I";64;641;5320;"H";53;532
6420;"I";64;642;6110;"J";61;611
6420;"I";64;642;6120;"J";61;612
6420;"I";64;642;6130;"J";61;613
6420;"I";64;642;6190;"J";61;619
6511;"J";65;651;6411;"K";64;641
6519;"J";65;651;6419;"K";64;641
6591;"J";65;659;6491;"K";64;649
6592;"J";65;659;6492;"K";64;649
6592;"J";65;659;6499;"K";64;649
6599;"J";65;659;6420;"K";64;642
6599;"J";65;659;6430;"K";64;643
6599;"J";65;659;6499;"K";64;649
6599;"J";65;659;6619;"K";66;661
6599;"J";65;659;7740;"N";77;774
6599;"J";65;659;9499;"S";94;949
6601;"J";66;660;6511;"K";65;651
6601;"J";66;660;6520;"K";65;652
6602;"J";66;660;6530;"K";65;653
6602;"J";66;660;6630;"K";66;663
6603;"J";66;660;6511;"K";65;651
6603;"J";66;660;6512;"K";65;651
6603;"J";66;660;6520;"K";65;652
6711;"J";67;671;6611;"K";66;661
6712;"J";67;671;6612;"K";66;661
6712;"J";67;671;6630;"K";66;663
6719;"J";67;671;6419;"K";64;641
6719;"J";67;671;6612;"K";66;661
6719;"J";67;671;6619;"K";66;661
6720;"J";67;672;6621;"K";66;662
6720;"J";67;672;6622;"K";66;662
6720;"J";67;672;6629;"K";66;662
7010;"K";70;701;4290;"F";42;429
7010;"K";70;701;6810;"L";68;681
7020;"K";70;702;6820;"L";68;682
7020;"K";70;702;8110;"N";81;811
7111;"K";71;711;7710;"N";77;771
7111;"K";71;711;7730;"N";77;773
7112;"K";71;711;7730;"N";77;773
7113;"K";71;711;7730;"N";77;773
7121;"K";71;712;7730;"N";77;773
7122;"K";71;712;7730;"N";77;773
7123;"K";71;712;7730;"N";77;773
7129;"K";71;712;7730;"N";77;773
7130;"K";71;713;7721;"N";77;772
7130;"K";71;713;7722;"N";77;772
7130;"K";71;713;7729;"N";77;772
7130;"K";71;713;7730;"N";77;773
7210;"K";72;721;6202;"J";62;620
7220;"K";72;722;5820;"J";58;582
7220;"K";72;722;6201;"J";62;620
7220;"K";72;722;6202;"J";62;620
7230;"K";72;723;6202;"J";62;620
7230;"K";72;723;6311;"J";63;631
7240;"K";72;724;5811;"J";58;581
7240;"K";72;724;5812;"J";58;581
7240;"K";72;724;5813;"J";58;581
7240;"K";72;724;5819;"J";58;581
7240;"K";72;724;5820;"J";58;582
7240;"K";72;724;5920;"J";59;592
7240;"K";72;724;6010;"J";60;601
7240;"K";72;724;6020;"J";60;602
7240;"K";72;724;6312;"J";63;631
7250;"K";72;725;3312;"C";33;331
7250;"K";72;725;9511;"S";95;951
7290;"K";72;729;6209;"J";62;620
7310;"K";73;731;7210;"M";72;721
7310;"K";73;731;7220;"M";72;722
7320;"K";73;732;7220;"M";72;722
7411;"K";74;741;6910;"M";69;691
7412;"K";74;741;6920;"M";69;692
7413;"K";74;741;7320;"M";73;732
7414;"K";74;741;7010;"M";70;701
7414;"K";74;741;7020;"M";70;702
7414;"K";74;741;7490;"M";74;749
7414;"K";74;741;8550;"P";85;855
7421;"K";74;742;910;"B";9;91
7421;"K";74;742;990;"B";9;99
7421;"K";74;742;7110;"M";71;711
7421;"K";74;742;7410;"M";74;741
7421;"K";74;742;7490;"M";74;749
7422;"K";74;742;7120;"M";71;712
7430;"K";74;743;7310;"M";73;731
7491;"K";74;749;7810;"N";78;781
7491;"K";74;749;7820;"N";78;782
7491;"K";74;749;7830;"N";78;783
7492;"K";74;749;7490;"M";74;749
7492;"K";74;749;8010;"N";80;801
7492;"K";74;749;8020;"N";80;802
7492;"K";74;749;8030;"N";80;803
7493;"K";74;749;8121;"N";81;812
7493;"K";74;749;8129;"N";81;812
7494;"K";74;749;7420;"M";74;742
7494;"K";74;749;8541;"P";85;854
7494;"K";74;749;9609;"S";96;960
7495;"K";74;749;8292;"N";82;829
7499;"K";74;749;6399;"J";63;639
7499;"K";74;749;7310;"M";73;731
7499;"K";74;749;7410;"M";74;741
7499;"K";74;749;7420;"M";74;742
7499;"K";74;749;7490;"M";74;749
7499;"K";74;749;8211;"N";82;821
7499;"K";74;749;8219;"N";82;821
7499;"K";74;749;8220;"N";82;822
7499;"K";74;749;8230;"N";82;823
7499;"K";74;749;8291;"N";82;829
7499;"K";74;749;8299;"N";82;829
7499;"K";74;749;8550;"P";85;855
7511;"L";75;751;8411;"O";84;841
7512;"L";75;751;8412;"O";84;841
7513;"L";75;751;7990;"N";79;799
7513;"L";75;751;8413;"O";84;841
7514;"L";75;751;6810;"L";68;681
7514;"L";75;751;6820;"L";68;682
7514;"L";75;751;8411;"O";84;841
7514;"L";75;751;9101;"R";91;910
7521;"L";75;752;8421;"O";84;842
7521;"L";75;752;8890;"Q";88;889
7522;"L";75;752;8422;"O";84;842
7523;"L";75;752;7120;"M";71;712
7523;"L";75;752;8423;"O";84;842
