isic_rev3_4dig;isic_rev3_secdig;isic_rev3_2dig;isic_rev3_3dig;isic_rev4_4dig;isic_rev4_secdig;isic_rev4_2dig;isic_rev4_3dig
111;"A";1;11;111;"A";1;11
111;"A";1;11;112;"A";1;11
111;"A";1;11;113;"A";1;11
111;"A";1;11;114;"A";1;11
111;"A";1;11;115;"A";1;11
111;"A";1;11;116;"A";1;11
111;"A";1;11;119;"A";1;11
111;"A";1;11;126;"A";1;12
111;"A";1;11;128;"A";1;12
111;"A";1;11;129;"A";1;12
111;"A";1;11;163;"A";1;16
112;"A";1;11;113;"A";1;11
112;"A";1;11;119;"A";1;11
112;"A";1;11;121;"A";1;12
112;"A";1;11;122;"A";1;12
112;"A";1;11;123;"A";1;12
112;"A";1;11;124;"A";1;12
112;"A";1;11;125;"A";1;12
112;"A";1;11;126;"A";1;12
112;"A";1;11;127;"A";1;12
112;"A";1;11;128;"A";1;12
112;"A";1;11;129;"A";1;12
112;"A";1;11;130;"A";1;13
112;"A";1;11;230;"A";2;23
112;"A";1;11;1102;"C";11;110
113;"A";1;11;121;"A";1;12
113;"A";1;11;122;"A";1;12
113;"A";1;11;123;"A";1;12
113;"A";1;11;124;"A";1;12
113;"A";1;11;125;"A";1;12
113;"A";1;11;126;"A";1;12
113;"A";1;11;127;"A";1;12
113;"A";1;11;128;"A";1;12
113;"A";1;11;230;"A";2;23
113;"A";1;11;1102;"C";11;110
121;"A";1;12;141;"A";1;14
121;"A";1;12;142;"A";1;14
121;"A";1;12;144;"A";1;14
122;"A";1;12;143;"A";1;14
122;"A";1;12;145;"A";1;14
122;"A";1;12;146;"A";1;14
122;"A";1;12;149;"A";1;14
122;"A";1;12;321;"A";3;32
122;"A";1;12;322;"A";3;32
130;"A";1;13;150;"A";1;15
140;"A";1;14;161;"A";1;16
140;"A";1;14;162;"A";1;16
140;"A";1;14;163;"A";1;16
140;"A";1;14;164;"A";1;16
140;"A";1;14;8130;"N";81;813
140;"A";1;14;8541;"P";85;854
140;"A";1;14;9609;"S";96;960
150;"A";1;15;170;"A";1;17
150;"A";1;15;9499;"S";94;949
200;"A";2;20;121;"A";1;12
200;"A";2;20;122;"A";1;12
200;"A";2;20;123;"A";1;12
200;"A";2;20;124;"A";1;12
200;"A";2;20;125;"A";1;12
200;"A";2;20;126;"A";1;12
200;"A";2;20;127;"A";1;12
200;"A";2;20;128;"A";1;12
200;"A";2;20;129;"A";1;12
200;"A";2;20;130;"A";1;13
200;"A";2;20;210;"A";2;21
200;"A";2;20;220;"A";2;22
200;"A";2;20;230;"A";2;23
200;"A";2;20;240;"A";2;24
200;"A";2;20;1102;"C";11;110
500;"B";5;50;311;"A";3;31
500;"B";5;50;312;"A";3;31
500;"B";5;50;321;"A";3;32
500;"B";5;50;322;"A";3;32
1010;"C";10;101;510;"B";5;51
1010;"C";10;101;990;"B";9;99
1010;"C";10;101;1920;"C";19;192
1020;"C";10;102;520;"B";5;52
1020;"C";10;102;990;"B";9;99
1020;"C";10;102;1920;"C";19;192
1030;"C";10;103;892;"B";8;89
1030;"C";10;103;990;"B";9;99
1110;"C";11;111;610;"B";6;61
1110;"C";11;111;620;"B";6;62
1110;"C";11;111;910;"B";9;91
1120;"C";11;112;910;"B";9;91
1200;"C";12;120;721;"B";7;72
1200;"C";12;120;990;"B";9;99
1310;"C";13;131;710;"B";7;71
1310;"C";13;131;990;"B";9;99
1320;"C";13;132;729;"B";7;72
1320;"C";13;132;990;"B";9;99
1410;"C";14;141;810;"B";8;81
1410;"C";14;141;990;"B";9;99
1421;"C";14;142;891;"B";8;89
1421;"C";14;142;990;"B";9;99
1422;"C";14;142;893;"B";8;89
1422;"C";14;142;990;"B";9;99
1429;"C";14;142;810;"B";8;81
1429;"C";14;142;899;"B";8;89
1429;"C";14;142;990;"B";9;99
1511;"D";15;151;1010;"C";10;101
1512;"D";15;151;1020;"C";10;102
1512;"D";15;151;1075;"C";10;107
1513;"D";15;151;1030;"C";10;103
1513;"D";15;151;1075;"C";10;107
1514;"D";15;151;1040;"C";10;104
1520;"D";15;152;1050;"C";10;105
1531;"D";15;153;1061;"C";10;106
1532;"D";15;153;1062;"C";10;106
1533;"D";15;153;1080;"C";10;108
1541;"D";15;154;1071;"C";10;107
1542;"D";15;154;1072;"C";10;107
1543;"D";15;154;1073;"C";10;107
1544;"D";15;154;1074;"C";10;107
1544;"D";15;154;1075;"C";10;107
1549;"D";15;154;1030;"C";10;103
1549;"D";15;154;1071;"C";10;107
1549;"D";15;154;1075;"C";10;107
1549;"D";15;154;1079;"C";10;107
1549;"D";15;154;3530;"D";35;353
1551;"D";15;155;1101;"C";11;110
1551;"D";15;155;2011;"C";20;201
1552;"D";15;155;1102;"C";11;110
1553;"D";15;155;1103;"C";11;110
1554;"D";15;155;1104;"C";11;110
1600;"D";16;160;1200;"C";12;120
1711;"D";17;171;1311;"C";13;131
1711;"D";17;171;1312;"C";13;131
1712;"D";17;171;1313;"C";13;131
1712;"D";17;171;3313;"C";33;331
1712;"D";17;171;8020;"N";80;802
1712;"D";17;171;9512;"S";95;951
1712;"D";17;171;9521;"S";95;952
1712;"D";17;171;9522;"S";95;952
1712;"D";17;171;9523;"S";95;952
1712;"D";17;171;9524;"S";95;952
1712;"D";17;171;9529;"S";95;952
1721;"D";17;172;1392;"C";13;139
