isic_rev4_4dig;isic_rev31_4dig;isic_rev4_secdig;isic_rev4_2dig;isic_rev4_3dig;isic_rev31_secdig;isic_rev31_2dig;isic_rev31_3dig
111;111;"A";1;11;"A";1;11
112;111;"A";1;11;"A";1;11
113;111;"A";1;11;"A";1;11
113;112;"A";1;11;"A";1;11
114;111;"A";1;11;"A";1;11
115;111;"A";1;11;"A";1;11
116;111;"A";1;11;"A";1;11
119;111;"A";1;11;"A";1;11
119;112;"A";1;11;"A";1;11
121;113;"A";1;12;"A";1;11
122;113;"A";1;12;"A";1;11
123;113;"A";1;12;"A";1;11
124;113;"A";1;12;"A";1;11
125;112;"A";1;12;"A";1;11
125;113;"A";1;12;"A";1;11
126;111;"A";1;12;"A";1;11
126;113;"A";1;12;"A";1;11
127;113;"A";1;12;"A";1;11
128;111;"A";1;12;"A";1;11
128;112;"A";1;12;"A";1;11
128;113;"A";1;12;"A";1;11
129;111;"A";1;12;"A";1;11
129;112;"A";1;12;"A";1;11
129;200;"A";1;12;"A";2;20
130;112;"A";1;13;"A";1;11
130;200;"A";1;13;"A";2;20
141;121;"A";1;14;"A";1;12
142;121;"A";1;14;"A";1;12
143;122;"A";1;14;"A";1;12
144;121;"A";1;14;"A";1;12
145;122;"A";1;14;"A";1;12
146;122;"A";1;14;"A";1;12
149;122;"A";1;14;"A";1;12
150;130;"A";1;15;"A";1;13
161;140;"A";1;16;"A";1;14
162;140;"A";1;16;"A";1;14
162;2892;"A";1;16;"D";28;289
163;111;"A";1;16;"A";1;11
163;140;"A";1;16;"A";1;14
164;140;"A";1;16;"A";1;14
170;150;"A";1;17;"A";1;15
210;200;"A";2;21;"A";2;20
220;200;"A";2;22;"A";2;20
230;112;"A";2;23;"A";1;11
230;113;"A";2;23;"A";1;11
230;200;"A";2;23;"A";2;20
240;200;"A";2;24;"A";2;20
311;501;"A";3;31;"B";5;50
312;501;"A";3;31;"B";5;50
321;122;"A";3;32;"A";1;12
321;502;"A";3;32;"B";5;50
322;122;"A";3;32;"A";1;12
322;502;"A";3;32;"B";5;50
510;1010;"B";5;51;"C";10;101
520;1020;"B";5;52;"C";10;102
610;1110;"B";6;61;"C";11;111
620;1110;"B";6;62;"C";11;111
710;1310;"B";7;71;"C";13;131
721;1200;"B";7;72;"C";12;120
729;1320;"B";7;72;"C";13;132
810;1410;"B";8;81;"C";14;141
810;1429;"B";8;81;"C";14;142
891;1421;"B";8;89;"C";14;142
