isic_rev31_4dig;isic_rev4_4dig;isic_rev31_secdig;isic_rev31_2dig;isic_rev31_3dig;isic_rev4_secdig;isic_rev4_2dig;isic_rev4_3dig
111;111;"A";1;11;"A";1;11
111;112;"A";1;11;"A";1;11
111;113;"A";1;11;"A";1;11
111;114;"A";1;11;"A";1;11
111;115;"A";1;11;"A";1;11
111;116;"A";1;11;"A";1;11
111;119;"A";1;11;"A";1;11
111;126;"A";1;11;"A";1;12
111;128;"A";1;11;"A";1;12
111;129;"A";1;11;"A";1;12
111;163;"A";1;11;"A";1;16
112;113;"A";1;11;"A";1;11
112;119;"A";1;11;"A";1;11
112;125;"A";1;11;"A";1;12
112;128;"A";1;11;"A";1;12
112;129;"A";1;11;"A";1;12
112;130;"A";1;11;"A";1;13
112;230;"A";1;11;"A";2;23
113;121;"A";1;11;"A";1;12
113;122;"A";1;11;"A";1;12
113;123;"A";1;11;"A";1;12
113;124;"A";1;11;"A";1;12
113;125;"A";1;11;"A";1;12
113;126;"A";1;11;"A";1;12
113;127;"A";1;11;"A";1;12
113;128;"A";1;11;"A";1;12
113;230;"A";1;11;"A";2;23
113;1102;"A";1;11;"C";11;110
121;141;"A";1;12;"A";1;14
121;142;"A";1;12;"A";1;14
121;144;"A";1;12;"A";1;14
122;143;"A";1;12;"A";1;14
122;145;"A";1;12;"A";1;14
122;146;"A";1;12;"A";1;14
122;149;"A";1;12;"A";1;14
122;321;"A";1;12;"A";3;32
122;322;"A";1;12;"A";3;32
130;150;"A";1;13;"A";1;15
140;161;"A";1;14;"A";1;16
140;162;"A";1;14;"A";1;16
140;163;"A";1;14;"A";1;16
140;164;"A";1;14;"A";1;16
140;8130;"A";1;14;"N";81;813
150;170;"A";1;15;"A";1;17
150;9499;"A";1;15;"S";94;949
200;129;"A";2;20;"A";1;12
200;130;"A";2;20;"A";1;13
200;210;"A";2;20;"A";2;21
200;220;"A";2;20;"A";2;22
200;230;"A";2;20;"A";2;23
200;240;"A";2;20;"A";2;24
501;311;"B";5;50;"A";3;31
501;312;"B";5;50;"A";3;31
502;321;"B";5;50;"A";3;32
502;322;"B";5;50;"A";3;32
1010;510;"C";10;101;"B";5;51
1010;990;"C";10;101;"B";9;99
1010;1920;"C";10;101;"C";19;192
1020;520;"C";10;102;"B";5;52
1020;990;"C";10;102;"B";9;99
1020;1920;"C";10;102;"C";19;192
1030;892;"C";10;103;"B";8;89
1030;990;"C";10;103;"B";9;99
1110;610;"C";11;111;"B";6;61
1110;620;"C";11;111;"B";6;62
1110;910;"C";11;111;"B";9;91
1120;910;"C";11;112;"B";9;91
1200;721;"C";12;120;"B";7;72
1200;990;"C";12;120;"B";9;99
1310;710;"C";13;131;"B";7;71
1310;990;"C";13;131;"B";9;99
1320;729;"C";13;132;"B";7;72
1320;990;"C";13;132;"B";9;99
1410;810;"C";14;141;"B";8;81
1410;990;"C";14;141;"B";9;99
1421;891;"C";14;142;"B";8;89
1421;990;"C";14;142;"B";9;99
1422;893;"C";14;142;"B";8;89
1422;990;"C";14;142;"B";9;99
1429;810;"C";14;142;"B";8;81
1429;899;"C";14;142;"B";8;89
1429;990;"C";14;142;"B";9;99
1511;1010;"D";15;151;"C";10;101
1512;1020;"D";15;151;"C";10;102
1512;1075;"D";15;151;"C";10;107
1513;1030;"D";15;151;"C";10;103
1513;1075;"D";15;151;"C";10;107
1514;1040;"D";15;151;"C";10;104
1520;1050;"D";15;152;"C";10;105
1531;1061;"D";15;153;"C";10;106
1532;1062;"D";15;153;"C";10;106
1533;1080;"D";15;153;"C";10;108
1541;1071;"D";15;154;"C";10;107
1542;1072;"D";15;154;"C";10;107
1543;1073;"D";15;154;"C";10;107
1544;1074;"D";15;154;"C";10;107
1544;1075;"D";15;154;"C";10;107
1549;1030;"D";15;154;"C";10;103
1549;1071;"D";15;154;"C";10;107
1549;1075;"D";15;154;"C";10;107
1549;1079;"D";15;154;"C";10;107
1549;3530;"D";15;154;"D";35;353
1551;1101;"D";15;155;"C";11;110
1551;2011;"D";15;155;"C";20;201
1552;1102;"D";15;155;"C";11;110
1553;1103;"D";15;155;"C";11;110
1554;1104;"D";15;155;"C";11;110
1600;1200;"D";16;160;"C";12;120
1711;1311;"D";17;171;"C";13;131
1711;1312;"D";17;171;"C";13;131
1712;1313;"D";17;171;"C";13;131
1721;1392;"D";17;172;"C";13;139
1721;3250;"D";17;172;"C";32;325
1721;3319;"D";17;172;"C";33;331
1722;1393;"D";17;172;"C";13;139
1723;1394;"D";17;172;"C";13;139
1723;3319;"D";17;172;"C";33;331
1729;1313;"D";17;172;"C";13;131
1729;1399;"D";17;172;"C";13;139
1729;1709;"D";17;172;"C";17;170
1730;1391;"D";17;173;"C";13;139
1730;1430;"D";17;173;"C";14;143
1810;1313;"D";18;181;"C";13;131
1810;1410;"D";18;181;"C";14;141
1810;3290;"D";18;181;"C";32;329
1820;1420;"D";18;182;"C";14;142
1820;1511;"D";18;182;"C";15;151
1911;1511;"D";19;191;"C";15;151
1912;1512;"D";19;191;"C";15;151
1912;3290;"D";19;191;"C";32;329
1920;1512;"D";19;192;"C";15;151
1920;1520;"D";19;192;"C";15;152
1920;1629;"D";19;192;"C";16;162
1920;2219;"D";19;192;"C";22;221
1920;2220;"D";19;192;"C";22;222
1920;3230;"D";19;192;"C";32;323
2010;1610;"D";20;201;"C";16;161
2021;1621;"D";20;202;"C";16;162
2022;1622;"D";20;202;"C";16;162
2023;1623;"D";20;202;"C";16;162
2023;3319;"D";20;202;"C";33;331
2029;1629;"D";20;202;"C";16;162
2029;3290;"D";20;202;"C";32;329
2029;3319;"D";20;202;"C";33;331
2101;1701;"D";21;210;"C";17;170
2102;1702;"D";21;210;"C";17;170
2109;1709;"D";21;210;"C";17;170
2109;1811;"D";21;210;"C";18;181
2109;2220;"D";21;210;"C";22;222
2211;3290;"D";22;221;"C";32;329
2211;5811;"D";22;221;"J";58;581
2211;5812;"D";22;221;"J";58;581
2212;5813;"D";22;221;"J";58;581
2213;5920;"D";22;221;"J";59;592
2219;5813;"D";22;221;"J";58;581
2219;5819;"D";22;221;"J";58;581
2221;1709;"D";22;222;"C";17;170
2221;1811;"D";22;222;"C";18;181
2222;1812;"D";22;222;"C";18;181
2230;1820;"D";22;223;"C";18;182
2310;1910;"D";23;231;"C";19;191
2320;1920;"D";23;232;"C";19;192
2330;2011;"D";23;233;"C";20;201
2330;2100;"D";23;233;"C";21;210
2330;2420;"D";23;233;"C";24;242
2330;3812;"D";23;233;"E";38;381
2330;3822;"D";23;233;"E";38;382
2411;1910;"D";24;241;"C";19;191
2411;2011;"D";24;241;"C";20;201
2412;2012;"D";24;241;"C";20;201
2412;3821;"D";24;241;"E";38;382
2413;2013;"D";24;241;"C";20;201
2421;2021;"D";24;242;"C";20;202
2422;2022;"D";24;242;"C";20;202
2423;2100;"D";24;242;"C";21;210
2423;3250;"D";24;242;"C";32;325
2424;2023;"D";24;242;"C";20;202
2429;1079;"D";24;242;"C";10;107
2429;2011;"D";24;242;"C";20;201
2429;2029;"D";24;242;"C";20;202
2429;2610;"D";24;242;"C";26;261
2429;2680;"D";24;242;"C";26;268
2429;2817;"D";24;242;"C";28;281
2430;2030;"D";24;243;"C";20;203
2511;2211;"D";25;251;"C";22;221
2519;2219;"D";25;251;"C";22;221
2519;2220;"D";25;251;"C";22;222
2519;2812;"D";25;251;"C";28;281
2519;3290;"D";25;251;"C";32;329
2519;3319;"D";25;251;"C";33;331
2520;2220;"D";25;252;"C";22;222
2520;2610;"D";25;252;"C";26;261
2520;2733;"D";25;252;"C";27;273
2520;3290;"D";25;252;"C";32;329
2520;3314;"D";25;252;"C";33;331
2520;3319;"D";25;252;"C";33;331
2610;2310;"D";26;261;"C";23;231
2610;3319;"D";26;261;"C";33;331
2691;2392;"D";26;269;"C";23;239
2691;2393;"D";26;269;"C";23;239
2692;2391;"D";26;269;"C";23;239
2693;2392;"D";26;269;"C";23;239
2694;2394;"D";26;269;"C";23;239
2695;2395;"D";26;269;"C";23;239
2696;2396;"D";26;269;"C";23;239
2699;1312;"D";26;269;"C";13;131
2699;2399;"D";26;269;"C";23;239
2699;3290;"D";26;269;"C";32;329
2699;3319;"D";26;269;"C";33;331
2710;2410;"D";27;271;"C";24;241
2710;2431;"D";27;271;"C";24;243
2720;2420;"D";27;272;"C";24;242
2731;2431;"D";27;273;"C";24;243
2732;2432;"D";27;273;"C";24;243
2811;2511;"D";28;281;"C";25;251
2811;3311;"D";28;281;"C";33;331
2812;2512;"D";28;281;"C";25;251
2812;3311;"D";28;281;"C";33;331
2813;2513;"D";28;281;"C";25;251
2813;3311;"D";28;281;"C";33;331
2813;3320;"D";28;281;"C";33;332
2891;2591;"D";28;289;"C";25;259
2892;162;"D";28;289;"A";1;16
2892;1811;"D";28;289;"C";18;181
2892;2592;"D";28;289;"C";25;259
2892;3311;"D";28;289;"C";33;331
2893;2593;"D";28;289;"C";25;259
2893;3311;"D";28;289;"C";33;331
2899;2599;"D";28;289;"C";25;259
2899;2817;"D";28;289;"C";28;281
2899;3290;"D";28;289;"C";32;329
2899;3311;"D";28;289;"C";33;331
2911;2811;"D";29;291;"C";28;281
2911;3312;"D";29;291;"C";33;331
2911;3320;"D";29;291;"C";33;332
2912;2811;"D";29;291;"C";28;281
2912;2812;"D";29;291;"C";28;281
2912;2813;"D";29;291;"C";28;281
2912;3312;"D";29;291;"C";33;331
2912;3320;"D";29;291;"C";33;332
2913;2812;"D";29;291;"C";28;281
2913;2814;"D";29;291;"C";28;281
2913;3312;"D";29;291;"C";33;331
2914;2815;"D";29;291;"C";28;281
2914;3312;"D";29;291;"C";33;331
2914;3320;"D";29;291;"C";33;332
2915;2816;"D";29;291;"C";28;281
2915;3312;"D";29;291;"C";33;331
2915;3320;"D";29;291;"C";33;332
2919;2819;"D";29;291;"C";28;281
2919;3250;"D";29;291;"C";32;325
2919;3312;"D";29;291;"C";33;331
2919;3320;"D";29;291;"C";33;332
2921;2821;"D";29;292;"C";28;282
2921;3312;"D";29;292;"C";33;331
2921;3320;"D";29;292;"C";33;332
2922;2790;"D";29;292;"C";27;279
2922;2818;"D";29;292;"C";28;281
2922;2819;"D";29;292;"C";28;281
2922;2822;"D";29;292;"C";28;282
2922;3312;"D";29;292;"C";33;331
2922;3314;"D";29;292;"C";33;331
2922;3320;"D";29;292;"C";33;332
2923;2823;"D";29;292;"C";28;282
2923;3312;"D";29;292;"C";33;331
2923;3320;"D";29;292;"C";33;332
2924;2824;"D";29;292;"C";28;282
2924;3312;"D";29;292;"C";33;331
2924;3320;"D";29;292;"C";33;332
2925;2825;"D";29;292;"C";28;282
2925;3312;"D";29;292;"C";33;331
2925;3320;"D";29;292;"C";33;332
2926;2826;"D";29;292;"C";28;282
2926;3312;"D";29;292;"C";33;331
2926;3320;"D";29;292;"C";33;332
2927;2520;"D";29;292;"C";25;252
2927;3030;"D";29;292;"C";30;303
2927;3040;"D";29;292;"C";30;304
2927;3311;"D";29;292;"C";33;331
2929;2593;"D";29;292;"C";25;259
2929;2790;"D";29;292;"C";27;279
2929;2826;"D";29;292;"C";28;282
2929;2829;"D";29;292;"C";28;282
2929;3311;"D";29;292;"C";33;331
2929;3312;"D";29;292;"C";33;331
2929;3314;"D";29;292;"C";33;331
2929;3320;"D";29;292;"C";33;332
2930;2750;"D";29;293;"C";27;275
2930;2815;"D";29;293;"C";28;281
2930;2819;"D";29;293;"C";28;281
3000;2610;"D";30;300;"C";26;261
3000;2620;"D";30;300;"C";26;262
3000;2817;"D";30;300;"C";28;281
3000;3320;"D";30;300;"C";33;332
3110;2610;"D";31;311;"C";26;261
3110;2710;"D";31;311;"C";27;271
3110;2790;"D";31;311;"C";27;279
3110;2811;"D";31;311;"C";28;281
3110;3312;"D";31;311;"C";33;331
3110;3314;"D";31;311;"C";33;331
3110;3320;"D";31;311;"C";33;332
3120;2610;"D";31;312;"C";26;261
3120;2710;"D";31;312;"C";27;271
3120;2733;"D";31;312;"C";27;273
3120;2790;"D";31;312;"C";27;279
3120;3314;"D";31;312;"C";33;331
3130;2610;"D";31;313;"C";26;261
3130;2731;"D";31;313;"C";27;273
3130;2732;"D";31;313;"C";27;273
3130;2790;"D";31;313;"C";27;279
3130;3314;"D";31;313;"C";33;331
3140;2720;"D";31;314;"C";27;272
3140;3314;"D";31;314;"C";33;331
3150;2740;"D";31;315;"C";27;274
3150;2790;"D";31;315;"C";27;279
3150;3314;"D";31;315;"C";33;331
3190;2599;"D";31;319;"C";25;259
3190;2630;"D";31;319;"C";26;263
3190;2651;"D";31;319;"C";26;265
3190;2733;"D";31;319;"C";27;273
3190;2740;"D";31;319;"C";27;274
3190;2790;"D";31;319;"C";27;279
3190;2822;"D";31;319;"C";28;282
3190;2930;"D";31;319;"C";29;293
3190;3020;"D";31;319;"C";30;302
3190;3313;"D";31;319;"C";33;331
3190;3314;"D";31;319;"C";33;331
3210;2610;"D";32;321;"C";26;261
3210;2790;"D";32;321;"C";27;279
3210;3314;"D";32;321;"C";33;331
3220;2630;"D";32;322;"C";26;263
3220;2651;"D";32;322;"C";26;265
3220;3313;"D";32;322;"C";33;331
3220;3320;"D";32;322;"C";33;332
3220;9512;"D";32;322;"S";95;951
