isco_08_4dig;isco_88_4dig;isco_08_3dig;isco_08_2dig;isco_08_1dig;isco_88_3dig;isco_88_2dig;isco_88_1dig
110;110;11;1;0;11;1;0
210;110;21;2;0;11;1;0
310;110;31;3;0;11;1;0
1111;1110;111;11;1;111;11;1
1112;1120;111;11;1;112;11;1
1113;1130;111;11;1;113;11;1
1114;1141;111;11;1;114;11;1
1114;1142;111;11;1;114;11;1
1114;1143;111;11;1;114;11;1
1120;1210;112;11;1;121;12;1
1311;1221;131;13;1;122;12;1
1312;1221;131;13;1;122;12;1
1321;1222;132;13;1;122;12;1
1322;1222;132;13;1;122;12;1
1323;1223;132;13;1;122;12;1
3123;1223;312;31;3;122;12;1
1420;1224;142;14;1;122;12;1
1411;1225;141;14;1;122;12;1
1412;1225;141;14;1;122;12;1
1324;1226;132;13;1;122;12;1
1330;1226;133;13;1;122;12;1
1219;1227;121;12;1;122;12;1
1346;1227;134;13;1;122;12;1
1219;1228;121;12;1;122;12;1
1213;1229;121;12;1;122;12;1
1219;1229;121;12;1;122;12;1
1341;1229;134;13;1;122;12;1
1342;1229;134;13;1;122;12;1
1343;1229;134;13;1;122;12;1
1344;1229;134;13;1;122;12;1
1345;1229;134;13;1;122;12;1
1349;1229;134;13;1;122;12;1
1439;1229;143;14;1;122;12;1
2654;1229;265;26;2;122;12;1
3435;1229;343;34;3;122;12;1
1211;1231;121;12;1;123;12;1
1219;1231;121;12;1;123;12;1
1212;1232;121;12;1;123;12;1
1221;1233;122;12;1;123;12;1
1222;1234;122;12;1;123;12;1
1324;1235;132;13;1;123;12;1
1330;1236;133;13;1;123;12;1
1223;1237;122;12;1;123;12;1
1213;1239;121;12;1;123;12;1
6111;1311;611;61;6;131;13;1
6112;1311;611;61;6;131;13;1
6113;1311;611;61;6;131;13;1
6114;1311;611;61;6;131;13;1
6121;1311;612;61;6;131;13;1
6122;1311;612;61;6;131;13;1
6130;1311;613;61;6;131;13;1
6210;1311;621;62;6;131;13;1
6221;1311;622;62;6;131;13;1
6222;1311;622;62;6;131;13;1
6223;1311;622;62;6;131;13;1
1321;1312;132;13;1;131;13;1
1322;1312;132;13;1;131;13;1
1323;1313;132;13;1;131;13;1
1420;1314;142;14;1;131;13;1
5221;1314;522;52;5;131;13;1
1411;1315;141;14;1;131;13;1
1412;1315;141;14;1;131;13;1
1324;1316;132;13;1;131;13;1
1330;1316;133;13;1;131;13;1
1211;1317;121;12;1;131;13;1
1212;1317;121;12;1;131;13;1
1219;1317;121;12;1;131;13;1
1221;1317;122;12;1;131;13;1
1222;1317;122;12;1;131;13;1
1330;1317;133;13;1;131;13;1
1346;1317;134;13;1;131;13;1
1219;1318;121;12;1;131;13;1
1223;1319;122;12;1;131;13;1
1341;1319;134;13;1;131;13;1
1342;1319;134;13;1;131;13;1
1343;1319;134;13;1;131;13;1
1344;1319;134;13;1;131;13;1
1345;1319;134;13;1;131;13;1
1349;1319;134;13;1;131;13;1
1431;1319;143;14;1;131;13;1
1439;1319;143;14;1;131;13;1
2111;2111;211;21;2;211;21;2
2112;2112;211;21;2;211;21;2
2113;2113;211;21;2;211;21;2
2262;2113;226;22;2;211;21;2
2114;2114;211;21;2;211;21;2
2120;2121;212;21;2;212;21;2
2120;2122;212;21;2;212;21;2
2511;2131;251;25;2;213;21;2
2512;2131;251;25;2;213;21;2
2513;2131;251;25;2;213;21;2
2519;2131;251;25;2;213;21;2
2521;2131;252;25;2;213;21;2
2522;2131;252;25;2;213;21;2
2523;2131;252;25;2;213;21;2
2513;2132;251;25;2;213;21;2
2514;2132;251;25;2;213;21;2
2519;2132;251;25;2;213;21;2
2513;2139;251;25;2;213;21;2
2519;2139;251;25;2;213;21;2
2529;2139;252;25;2;213;21;2
2161;2141;216;21;2;214;21;2
2162;2141;216;21;2;214;21;2
2164;2141;216;21;2;214;21;2
2142;2142;214;21;2;214;21;2
2151;2143;215;21;2;214;21;2
2152;2144;215;21;2;214;21;2
2153;2144;215;21;2;214;21;2
2144;2145;214;21;2;214;21;2
2145;2146;214;21;2;214;21;2
2146;2147;214;21;2;214;21;2
2165;2148;216;21;2;214;21;2
2141;2149;214;21;2;214;21;2
2143;2149;214;21;2;214;21;2
2149;2149;214;21;2;214;21;2
2131;2211;213;21;2;221;22;2
2133;2211;213;21;2;221;22;2
2131;2212;213;21;2;221;22;2
2212;2212;221;22;2;221;22;2
2250;2212;225;22;2;221;22;2
2132;2213;213;21;2;221;22;2
2211;2221;221;22;2;222;22;2
2212;2221;221;22;2;222;22;2
2261;2222;226;22;2;222;22;2
2250;2223;225;22;2;222;22;2
2262;2224;226;22;2;222;22;2
2263;2229;226;22;2;222;22;2
2269;2229;226;22;2;222;22;2
1342;2230;134;13;1;223;22;2
1343;2230;134;13;1;223;22;2
2221;2230;222;22;2;223;22;2
2222;2230;222;22;2;223;22;2
3221;2230;322;32;3;223;22;2
3222;2230;322;32;3;223;22;2
2310;2310;231;23;2;231;23;2
2320;2310;232;23;2;231;23;2
2320;2320;232;23;2;232;23;2
2330;2320;233;23;2;232;23;2
2341;2331;234;23;2;233;23;2
2342;2332;234;23;2;233;23;2
2352;2340;235;23;2;234;23;2
2351;2351;235;23;2;235;23;2
2351;2352;235;23;2;235;23;2
2353;2359;235;23;2;235;23;2
2354;2359;235;23;2;235;23;2
2355;2359;235;23;2;235;23;2
2356;2359;235;23;2;235;23;2
2359;2359;235;23;2;235;23;2
2411;2411;241;24;2;241;24;2
2412;2411;241;24;2;241;24;2
2263;2412;226;22;2;241;24;2
2423;2412;242;24;2;241;24;2
2424;2412;242;24;2;241;24;2
2412;2419;241;24;2;241;24;2
2413;2419;241;24;2;241;24;2
2421;2419;242;24;2;241;24;2
2422;2419;242;24;2;241;24;2
2431;2419;243;24;2;241;24;2
2432;2419;243;24;2;241;24;2
3339;2419;333;33;3;241;24;2
2611;2421;261;26;2;242;24;2
2612;2422;261;26;2;242;24;2
2619;2429;261;26;2;242;24;2
2621;2431;262;26;2;243;24;2
2622;2432;262;26;2;243;24;2
2631;2441;263;26;2;244;24;2
2632;2442;263;26;2;244;24;2
2633;2443;263;26;2;244;24;2
2643;2444;264;26;2;244;24;2
2634;2445;263;26;2;244;24;2
2635;2446;263;26;2;244;24;2
2431;2451;243;24;2;245;24;2
2432;2451;243;24;2;245;24;2
2641;2451;264;26;2;245;24;2
2642;2451;264;26;2;245;24;2
2651;2452;265;26;2;245;24;2
2652;2453;265;26;2;245;24;2
2653;2454;265;26;2;245;24;2
2654;2455;265;26;2;245;24;2
2655;2455;265;26;2;245;24;2
2636;2460;263;26;2;246;24;2
3111;3111;311;31;3;311;31;3
3112;3112;311;31;3;311;31;3
3113;3113;311;31;3;311;31;3
3114;3114;311;31;3;311;31;3
3522;3114;352;35;3;311;31;3
3115;3115;311;31;3;311;31;3
3116;3116;311;31;3;311;31;3
3117;3117;311;31;3;311;31;3
3118;3118;311;31;3;311;31;3
3119;3119;311;31;3;311;31;3
3512;3121;351;35;3;312;31;3
3513;3121;351;35;3;312;31;3
3514;3121;351;35;3;312;31;3
3511;3122;351;35;3;312;31;3
3514;3122;351;35;3;312;31;3
3139;3123;313;31;3;312;31;3
3431;3131;343;34;3;313;31;3
3521;3131;352;35;3;313;31;3
3521;3132;352;35;3;313;31;3
3522;3132;352;35;3;313;31;3
3211;3133;321;32;3;313;31;3
3151;3141;315;31;3;314;31;3
3152;3142;315;31;3;314;31;3
3153;3143;315;31;3;314;31;3
3154;3144;315;31;3;314;31;3
3155;3145;315;31;3;314;31;3
3112;3151;311;31;3;315;31;3
3359;3151;335;33;3;315;31;3
2263;3152;226;22;2;315;31;3
3113;3152;311;31;3;315;31;3
3114;3152;311;31;3;315;31;3
3115;3152;311;31;3;315;31;3
3117;3152;311;31;3;315;31;3
3257;3152;325;32;3;315;31;3
7543;3152;754;75;7;315;31;3
3141;3211;314;31;3;321;32;3
3212;3211;321;32;3;321;32;3
3142;3212;314;31;3;321;32;3
3143;3212;314;31;3;321;32;3
2132;3213;213;21;2;321;32;3
2240;3221;224;22;2;322;32;3
3253;3221;325;32;3;322;32;3
3256;3221;325;32;3;322;32;3
2263;3222;226;22;2;322;32;3
3257;3222;325;32;3;322;32;3
2265;3223;226;22;2;322;32;3
2267;3224;226;22;2;322;32;3
3254;3224;325;32;3;322;32;3
3251;3225;325;32;3;322;32;3
2264;3226;226;22;2;322;32;3
2269;3226;226;22;2;322;32;3
3255;3226;325;32;3;322;32;3
3259;3226;325;32;3;322;32;3
3240;3227;324;32;3;322;32;3
3213;3228;321;32;3;322;32;3
2230;3229;223;22;2;322;32;3
2266;3229;226;22;2;322;32;3
2267;3229;226;22;2;322;32;3
2269;3229;226;22;2;322;32;3
3259;3229;325;32;3;322;32;3
3221;3231;322;32;3;323;32;3
3222;3232;322;32;3;323;32;3
2230;3241;223;22;2;324;32;3
3230;3241;323;32;3;324;32;3
3413;3242;341;34;3;324;32;3
2341;3310;234;23;2;331;33;3
2342;3320;234;23;2;332;33;3
2352;3330;235;23;2;333;33;3
2353;3340;235;23;2;334;33;3
2355;3340;235;23;2;334;33;3
2356;3340;235;23;2;334;33;3
2359;3340;235;23;2;334;33;3
3153;3340;315;31;3;334;33;3
3423;3340;342;34;3;334;33;3
3435;3340;343;34;3;334;33;3
5165;3340;516;51;5;334;33;3
2412;3411;241;24;2;341;34;3
3311;3411;331;33;3;341;34;3
3321;3412;332;33;3;341;34;3
3334;3413;333;33;3;341;34;3
4221;3414;422;42;4;341;34;3
2433;3415;243;24;2;341;34;3
2434;3415;243;24;2;341;34;3
3322;3415;332;33;3;341;34;3
3323;3416;332;33;3;341;34;3
3315;3417;331;33;3;341;34;3
3339;3417;333;33;3;341;34;3
3312;3419;331;33;3;341;34;3
3324;3421;332;33;3;342;34;3
3331;3422;333;33;3;342;34;3
3333;3423;333;33;3;342;34;3
3339;3429;333;33;3;342;34;3
3341;3431;334;33;3;343;34;3
3342;3431;334;33;3;343;34;3
3343;3431;334;33;3;343;34;3
3344;3431;334;33;3;343;34;3
